Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,118,1843
2002-08-01,2002,8,70,1742
2002-11-01,2002,11,215,1506
2002-12-01,2002,12,111,1223
2003-01-01,2003,1,17,1225
2003-07-01,2003,7,96,1698
2003-08-01,2003,8,145,1784
2003-11-01,2003,11,167,1492
2003-12-01,2003,12,20,1323
2004-01-01,2004,1,25,1263
2004-08-01,2004,8,106,1341
2004-11-01,2004,11,209,1697
2004-12-01,2004,12,368,1696
2005-01-01,2005,1,165,1626
2005-07-01,2005,7,237,2306
2005-08-01,2005,8,385,2372
2006-08-01,2006,8,29,2386
2006-11-01,2006,11,77,1657
2006-12-01,2006,12,53,1668
2007-01-01,2007,1,10,1250
2007-11-01,2007,11,194,1490
2007-12-01,2007,12,127,1443
2008-01-01,2008,1,30,1216
2008-07-01,2008,7,8,2600
2008-08-01,2008,8,13,1646
2008-11-01,2008,11,83,1817
2008-12-01,2008,12,20,1600
2009-06-01,2009,6,3,2221
2009-11-01,2009,11,18,1825
2009-12-01,2009,12,12,1778
2010-01-01,2010,1,8,1800
2010-08-01,2010,8,89,2854
2010-12-01,2010,12,24,2750
2011-08-01,2011,8,355,3517
2011-11-01,2011,11,252,3197
2011-12-01,2011,12,295,2882
2012-01-01,2012,1,95,2918
2012-07-01,2012,7,6,2985
2012-08-01,2012,8,523,4246
2012-11-01,2012,11,304,3577
2012-12-01,2012,12,571,3532
2013-01-01,2013,1,117,3455
2013-06-01,2013,6,21,3475
2013-07-01,2013,7,152,3874
2013-08-01,2013,8,182,3800
2014-01-01,2014,1,260,4852
2014-06-01,2014,6,82,3691
2014-07-01,2014,7,367,4350
2014-08-01,2014,8,1190,4132
2014-11-01,2014,11,975,3764
2014-12-01,2014,12,543,3848
2015-01-01,2015,1,1213,3705
2015-06-01,2015,6,67,2893
2015-07-01,2015,7,458,3502
2015-08-01,2015,8,1973,4054
2015-11-01,2015,11,250,3969
2015-12-01,2015,12,533,4086
2016-01-01,2016,1,82,4311
2016-06-01,2016,6,4,3850
2016-07-01,2016,7,14,5168
2016-08-01,2016,8,232,4602
2016-11-01,2016,11,817,5014
2016-12-01,2016,12,119,5197
2017-01-01,2017,1,82,5132
2017-06-01,2017,6,51,4833
2017-07-01,2017,7,407,4794
2017-08-01,2017,8,778,4898
2017-11-01,2017,11,594,4452
2017-12-01,2017,12,334,4282
2018-01-01,2018,1,14,4675
2018-06-01,2018,6,17,4850
2018-07-01,2018,7,166,5168
2018-08-01,2018,8,1396,5322
2018-11-01,2018,11,230,6388
2018-12-01,2018,12,130,5183
2019-01-01,2019,1,104,5228
2019-07-01,2019,7,11,6500
2019-08-01,2019,8,329,5350
2019-11-01,2019,11,344,5600
2019-12-01,2019,12,96,5300
