Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-08-01,2003,8,12,2100
2004-06-01,2004,6,6,2029
2004-11-01,2004,11,4,3615
2006-08-01,2006,8,22,1660
2007-07-01,2007,7,22,2050
2007-08-01,2007,8,15,2262
2008-07-01,2008,7,22,2700
2008-08-01,2008,8,44,2567
2008-11-01,2008,11,13,2250
2009-06-01,2009,6,5,2400
2009-07-01,2009,7,23,2300
2010-07-01,2010,7,13,3000
2010-08-01,2010,8,4,3000
2011-07-01,2011,7,110,3096
2011-08-01,2011,8,572,3294
2011-12-01,2011,12,7,3800
2012-01-01,2012,1,12,3950
2012-07-01,2012,7,9,3550
2012-08-01,2012,8,109,3989
2012-11-01,2012,11,8,3500
2012-12-01,2012,12,17,3450
2013-01-01,2013,1,8,3133
2013-07-01,2013,7,55,4280
2013-08-01,2013,8,222,4234
2013-12-01,2013,12,4,3200
2014-01-01,2014,1,15,4117
2014-07-01,2014,7,49,4900
2014-08-01,2014,8,166,4517
2015-06-01,2015,6,4,3600
2015-07-01,2015,7,97,3807
2015-08-01,2015,8,87,3818
2016-01-01,2016,1,24,5905
2016-08-01,2016,8,4,4200
