Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,40,2450
2002-12-01,2002,12,55,2594
2003-01-01,2003,1,12,2700
2003-11-01,2003,11,55,3149
2003-12-01,2003,12,45,2528
2004-11-01,2004,11,49,2500
2004-12-01,2004,12,35,2150
2005-01-01,2005,1,40,2075
2005-11-01,2005,11,263,1950
2005-12-01,2005,12,51,1967
2006-01-01,2006,1,38,2225
2006-11-01,2006,11,90,2303
2006-12-01,2006,12,41,2292
2007-01-01,2007,1,17,1730
2007-12-01,2007,12,11,2117
2008-01-01,2008,1,14,2333
2008-11-01,2008,11,38,2484
2008-12-01,2008,12,112,2195
2009-01-01,2009,1,2,2000
2009-11-01,2009,11,16,2075
2009-12-01,2009,12,296,2150
2010-12-01,2010,12,14,3500
2011-12-01,2011,12,1003,3550
2012-01-01,2012,1,18,3160
