Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2006-11-01,2006,11,93,2005
2006-12-01,2006,12,213,1889
2007-01-01,2007,1,70,1942
2007-11-01,2007,11,19,1950
2007-12-01,2007,12,68,2235
2008-01-01,2008,1,8,2720
2008-11-01,2008,11,918,2402
2008-12-01,2008,12,231,2257
2009-01-01,2009,1,131,2112
2009-07-01,2009,7,14,1500
2009-11-01,2009,11,757,2281
2009-12-01,2009,12,909,2878
2010-01-01,2010,1,324,2833
2010-08-01,2010,8,271,2485
2010-11-01,2010,11,1341,3128
2010-12-01,2010,12,1986,3248
2011-01-01,2011,1,1322,3414
2011-06-01,2011,6,467,3720
2011-08-01,2011,8,152,3587
2011-11-01,2011,11,255,3663
2011-12-01,2011,12,1395,3327
2012-01-01,2012,1,981,3471
2012-06-01,2012,6,496,3610
2012-07-01,2012,7,159,4025
2012-08-01,2012,8,182,5115
2012-11-01,2012,11,72,3067
2012-12-01,2012,12,707,3605
2013-01-01,2013,1,476,3751
2014-01-01,2014,1,291,3948
2014-08-01,2014,8,86,5300
2014-11-01,2014,11,278,3600
2014-12-01,2014,12,211,3531
2015-01-01,2015,1,3573,3635
2015-08-01,2015,8,44,3810
2015-11-01,2015,11,184,3562
2015-12-01,2015,12,112,4494
2016-01-01,2016,1,235,4300
2016-12-01,2016,12,7,5150
2018-01-01,2018,1,85,5100
2018-12-01,2018,12,6,5200
2019-01-01,2019,1,17,5300
