Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-01-01,2003,1,27,3013
2004-01-01,2004,1,77,3217
2004-12-01,2004,12,18,2945
2005-01-01,2005,1,16,2550
2005-12-01,2005,12,30,3410
2008-01-01,2008,1,31,2698
2008-08-01,2008,8,91,2483
2008-11-01,2008,11,94,2025
2009-01-01,2009,1,44,2667
2009-12-01,2009,12,9,2300
2010-08-01,2010,8,155,2518
2010-11-01,2010,11,152,4564
2010-12-01,2010,12,77,3665
2011-07-01,2011,7,21,3000
2011-08-01,2011,8,39,2700
2011-11-01,2011,11,11,4100
2012-01-01,2012,1,28,3607
2012-07-01,2012,7,19,3000
2012-08-01,2012,8,27,3700
2012-11-01,2012,11,24,2800
2012-12-01,2012,12,18,3412
2013-01-01,2013,1,5,2500
2013-08-01,2013,8,234,3189
2013-11-01,2013,11,15,4100
2013-12-01,2013,12,57,3967
2014-01-01,2014,1,9,6500
2014-08-01,2014,8,24,4000
2014-11-01,2014,11,3,4000
2014-12-01,2014,12,2,3850
2015-08-01,2015,8,19,3200
2017-01-01,2017,1,37,5300
2017-08-01,2017,8,14,4825
2017-12-01,2017,12,53,4350
2018-07-01,2018,7,38,4283
2018-08-01,2018,8,76,5205
2019-08-01,2019,8,38,4200
