Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,10,2035
2002-07-01,2002,7,2,1211
2002-11-01,2002,11,3013,2328
2002-12-01,2002,12,2145,2580
2003-01-01,2003,1,365,2446
2003-06-01,2003,6,1,1909
2003-11-01,2003,11,3291,2984
2003-12-01,2003,12,2513,2891
2004-01-01,2004,1,585,2751
2004-11-01,2004,11,3753,2612
2004-12-01,2004,12,4295,2428
2005-01-01,2005,1,1568,2316
2005-11-01,2005,11,1145,3637
2005-12-01,2005,12,2132,4157
2006-01-01,2006,1,1922,3287
2006-06-01,2006,6,7,1530
2006-11-01,2006,11,1254,2355
2006-12-01,2006,12,1807,2350
2007-01-01,2007,1,1120,2298
2007-06-01,2007,6,3,1934
2007-11-01,2007,11,1571,2372
2007-12-01,2007,12,2135,2356
2008-01-01,2008,1,779,2501
2008-06-01,2008,6,127,2352
2008-07-01,2008,7,10,2462
2008-11-01,2008,11,790,2823
2008-12-01,2008,12,687,2713
2009-01-01,2009,1,185,2710
2009-06-01,2009,6,37,2260
2009-11-01,2009,11,1710,3021
2009-12-01,2009,12,2664,3020
2010-01-01,2010,1,1275,3197
2010-06-01,2010,6,26,2642
2010-11-01,2010,11,1109,4319
2010-12-01,2010,12,3599,4101
2011-01-01,2011,1,1308,5023
2011-06-01,2011,6,48,3200
2011-07-01,2011,7,8,2595
2011-08-01,2011,8,4,3285
2011-11-01,2011,11,1618,4056
2011-12-01,2011,12,1971,4004
2012-01-01,2012,1,1170,4238
2012-06-01,2012,6,20,3422
2012-11-01,2012,11,460,4228
2012-12-01,2012,12,1132,4105
2013-01-01,2013,1,670,4103
2013-06-01,2013,6,13,4901
2014-01-01,2014,1,2025,5033
2014-06-01,2014,6,6,4545
2014-11-01,2014,11,562,4069
2014-12-01,2014,12,824,4146
2015-01-01,2015,1,3009,4081
2015-07-01,2015,7,2,4300
2015-11-01,2015,11,342,4262
2015-12-01,2015,12,227,4614
2016-01-01,2016,1,116,4834
2016-06-01,2016,6,10,4488
2016-11-01,2016,11,349,5386
2016-12-01,2016,12,665,5333
2017-01-01,2017,1,183,5629
2017-06-01,2017,6,22,5217
2017-11-01,2017,11,700,4884
2017-12-01,2017,12,426,5366
2018-01-01,2018,1,194,5380
2018-06-01,2018,6,2,3100
2018-07-01,2018,7,14,5188
2018-11-01,2018,11,451,5596
2018-12-01,2018,12,374,5521
2019-01-01,2019,1,327,5440
2019-07-01,2019,7,3,4200
2019-11-01,2019,11,52,4888
2019-12-01,2019,12,311,5139
