Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,233,1972
2002-08-01,2002,8,304,2051
2003-07-01,2003,7,177,2716
2003-08-01,2003,8,150,2450
2004-06-01,2004,6,62,2573
2004-07-01,2004,7,56,2585
2004-08-01,2004,8,194,2424
2005-06-01,2005,6,94,1783
2005-07-01,2005,7,143,1788
2005-08-01,2005,8,209,1675
2006-06-01,2006,6,40,1950
2006-07-01,2006,7,124,2050
2006-08-01,2006,8,92,2025
2007-06-01,2007,6,49,2125
2007-07-01,2007,7,75,2117
2007-08-01,2007,8,46,2117
2008-06-01,2008,6,45,3038
2008-07-01,2008,7,67,3520
2008-08-01,2008,8,81,3090
2009-06-01,2009,6,107,2800
2009-07-01,2009,7,153,2815
2009-08-01,2009,8,1,2900
2010-06-01,2010,6,69,3390
2010-07-01,2010,7,180,3407
2010-08-01,2010,8,181,3490
2011-07-01,2011,7,64,3100
2011-08-01,2011,8,163,3690
2011-11-01,2011,11,172,3514
2011-12-01,2011,12,23,3552
2012-01-01,2012,1,125,3838
2012-07-01,2012,7,1,5001
2012-08-01,2012,8,168,4850
2012-11-01,2012,11,47,3900
2012-12-01,2012,12,82,4660
2013-01-01,2013,1,62,3950
2013-06-01,2013,6,23,4200
2013-08-01,2013,8,53,4800
2014-01-01,2014,1,1,4200
2014-06-01,2014,6,36,4450
2014-07-01,2014,7,57,4625
2014-08-01,2014,8,206,4950
2014-11-01,2014,11,26,3728
2015-01-01,2015,1,468,3821
2015-08-01,2015,8,29,4082
2015-11-01,2015,11,108,4198
2015-12-01,2015,12,145,4376
2016-01-01,2016,1,38,4650
2016-11-01,2016,11,10,4945
2016-12-01,2016,12,13,4938
2017-01-01,2017,1,4,5164
2018-07-01,2018,7,54,3900
2018-11-01,2018,11,5,5201
2018-12-01,2018,12,36,5000
2019-11-01,2019,11,22,4700
