Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,8,2041
2002-12-01,2002,12,1,1520
2003-12-01,2003,12,1,2089
2004-11-01,2004,11,3,1830
2004-12-01,2004,12,5,1740
2005-01-01,2005,1,2,1470
2005-11-01,2005,11,6,2038
2005-12-01,2005,12,17,1994
2006-01-01,2006,1,16,1852
2006-11-01,2006,11,168,2118
2006-12-01,2006,12,255,1983
2007-01-01,2007,1,20,1926
2007-11-01,2007,11,270,2226
2007-12-01,2007,12,230,2213
2008-01-01,2008,1,72,2472
2008-06-01,2008,6,13,2396
2008-07-01,2008,7,1,2450
2008-11-01,2008,11,659,2688
2008-12-01,2008,12,423,2652
2009-01-01,2009,1,171,2614
2009-06-01,2009,6,5,2540
2009-11-01,2009,11,1569,3016
2009-12-01,2009,12,729,3072
2010-01-01,2010,1,782,3149
2010-06-01,2010,6,8,3259
2010-11-01,2010,11,473,4204
2010-12-01,2010,12,367,4174
2011-01-01,2011,1,163,5035
2011-06-01,2011,6,1,2991
2011-11-01,2011,11,1331,3984
2011-12-01,2011,12,1080,3905
2012-01-01,2012,1,1136,4136
2012-06-01,2012,6,45,3692
2012-11-01,2012,11,936,4195
2012-12-01,2012,12,831,4096
2013-01-01,2013,1,626,4081
2013-06-01,2013,6,1,4635
2014-01-01,2014,1,447,5198
2014-06-01,2014,6,5,5094
2014-08-01,2014,8,8,5000
2014-11-01,2014,11,1173,4064
2014-12-01,2014,12,1130,4168
2015-01-01,2015,1,5772,4041
2015-06-01,2015,6,7,4274
2015-11-01,2015,11,1765,4284
2015-12-01,2015,12,951,4641
2016-01-01,2016,1,329,4921
2016-11-01,2016,11,636,5300
2016-12-01,2016,12,813,5031
2017-01-01,2017,1,433,5438
2017-06-01,2017,6,1,5011
2017-11-01,2017,11,655,4894
2017-12-01,2017,12,627,5292
2018-01-01,2018,1,328,5157
2018-06-01,2018,6,27,4868
2018-07-01,2018,7,229,5100
2018-08-01,2018,8,36,5434
2018-11-01,2018,11,754,5568
2018-12-01,2018,12,419,5480
2019-01-01,2019,1,156,5305
2019-06-01,2019,6,16,5316
2019-07-01,2019,7,18,5802
2019-11-01,2019,11,248,5107
2019-12-01,2019,12,1041,5303
