Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,411,2457
2002-12-01,2002,12,1056,2921
2003-01-01,2003,1,175,2547
2003-11-01,2003,11,88,2975
2003-12-01,2003,12,450,2945
2004-01-01,2004,1,483,3066
2004-11-01,2004,11,900,2758
2004-12-01,2004,12,1198,2533
2005-01-01,2005,1,351,2550
2005-11-01,2005,11,478,3696
2005-12-01,2005,12,823,3661
2006-01-01,2006,1,321,3246
2006-11-01,2006,11,498,3166
2006-12-01,2006,12,1120,2669
2007-01-01,2007,1,357,2404
2007-11-01,2007,11,37,2770
2007-12-01,2007,12,428,2669
2008-01-01,2008,1,767,2829
2008-11-01,2008,11,43,2856
2008-12-01,2008,12,404,3013
2009-01-01,2009,1,126,2858
2009-11-01,2009,11,110,3866
2009-12-01,2009,12,484,4218
2010-01-01,2010,1,159,4063
2010-11-01,2010,11,232,4375
2010-12-01,2010,12,3010,4747
2011-01-01,2011,1,219,5090
2011-11-01,2011,11,1012,3900
2011-12-01,2011,12,788,4423
2012-01-01,2012,1,714,4435
2012-06-01,2012,6,13,4210
2012-11-01,2012,11,62,4619
2012-12-01,2012,12,327,4434
2013-01-01,2013,1,387,4413
2014-01-01,2014,1,199,5912
2014-11-01,2014,11,164,4332
2014-12-01,2014,12,450,4577
2015-01-01,2015,1,1980,4448
2015-12-01,2015,12,512,5254
2016-01-01,2016,1,91,5152
2016-11-01,2016,11,46,6333
2016-12-01,2016,12,644,6239
2017-01-01,2017,1,579,6451
2017-11-01,2017,11,77,5450
2017-12-01,2017,12,579,6349
2018-01-01,2018,1,274,6310
2018-11-01,2018,11,29,6389
2018-12-01,2018,12,856,6687
2019-01-01,2019,1,57,5050
