Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,141,1397
2002-07-01,2002,7,19,1398
2002-12-01,2002,12,7,1610
2003-01-01,2003,1,6,1800
2003-11-01,2003,11,10,2650
2004-01-01,2004,1,5,2400
2004-12-01,2004,12,72,1645
2005-01-01,2005,1,39,1704
2005-06-01,2005,6,56,1458
2005-07-01,2005,7,30,1776
2005-08-01,2005,8,18,1511
2006-11-01,2006,11,5,1600
2007-11-01,2007,11,32,2120
2007-12-01,2007,12,18,2126
2008-01-01,2008,1,28,2267
2009-11-01,2009,11,38,2364
2009-12-01,2009,12,21,2850
2010-01-01,2010,1,24,2567
2010-11-01,2010,11,46,3995
2010-12-01,2010,12,43,3945
2011-01-01,2011,1,32,4676
2011-11-01,2011,11,55,4204
2011-12-01,2011,12,133,4013
2012-01-01,2012,1,85,4221
2012-07-01,2012,7,16,1860
2012-11-01,2012,11,180,3840
2012-12-01,2012,12,1045,3867
2013-01-01,2013,1,1239,3858
2013-06-01,2013,6,110,4700
2013-11-01,2013,11,1964,4493
2013-12-01,2013,12,2447,4357
2014-01-01,2014,1,2537,4984
2014-06-01,2014,6,158,4703
2014-07-01,2014,7,181,5238
2014-08-01,2014,8,58,4467
2014-11-01,2014,11,2108,4121
2014-12-01,2014,12,3973,4147
2015-01-01,2015,1,37642,3956
2015-06-01,2015,6,643,4413
2015-07-01,2015,7,439,4476
2015-08-01,2015,8,9,4500
2015-11-01,2015,11,510,4152
2015-12-01,2015,12,1301,4223
2016-01-01,2016,1,443,4778
2016-06-01,2016,6,328,4475
2016-08-01,2016,8,310,5424
2016-11-01,2016,11,1125,5188
2016-12-01,2016,12,1285,5006
2017-01-01,2017,1,1711,5280
2017-06-01,2017,6,349,5283
2017-07-01,2017,7,50,5000
2017-08-01,2017,8,52,4700
2017-11-01,2017,11,4667,4144
2017-12-01,2017,12,3003,4898
2018-01-01,2018,1,3171,5064
2018-06-01,2018,6,2165,4583
2018-07-01,2018,7,418,5092
2018-08-01,2018,8,197,5375
2018-11-01,2018,11,460,5611
2018-12-01,2018,12,851,5452
2019-01-01,2019,1,202,5507
2019-07-01,2019,7,15,5650
2019-08-01,2019,8,7,5650
2019-11-01,2019,11,1465,5168
2019-12-01,2019,12,2636,5066
