Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,56,2693
2002-12-01,2002,12,272,2811
2003-01-01,2003,1,54,2393
2003-08-01,2003,8,200,2353
2003-12-01,2003,12,253,2982
2004-01-01,2004,1,93,2470
2004-12-01,2004,12,141,2849
2005-01-01,2005,1,78,2346
2005-08-01,2005,8,9,2445
2005-11-01,2005,11,593,3361
2005-12-01,2005,12,304,3979
2006-01-01,2006,1,80,3679
2006-11-01,2006,11,235,2681
2006-12-01,2006,12,424,2978
2007-01-01,2007,1,215,2674
2007-11-01,2007,11,214,2842
2007-12-01,2007,12,100,2438
2008-01-01,2008,1,373,2661
2008-11-01,2008,11,100,2426
2008-12-01,2008,12,168,2460
2009-01-01,2009,1,124,2719
2009-11-01,2009,11,100,2739
2009-12-01,2009,12,271,3723
2010-01-01,2010,1,18,3448
2010-11-01,2010,11,10,4674
2010-12-01,2010,12,140,4876
2011-01-01,2011,1,91,4987
2011-08-01,2011,8,98,5069
2011-11-01,2011,11,109,4736
2011-12-01,2011,12,143,4300
2012-01-01,2012,1,198,4437
2012-08-01,2012,8,95,5885
2012-11-01,2012,11,40,4728
2012-12-01,2012,12,19,4812
2013-01-01,2013,1,228,4839
2014-01-01,2014,1,181,6722
2014-08-01,2014,8,119,5807
2014-11-01,2014,11,147,4620
2014-12-01,2014,12,40,4716
2015-01-01,2015,1,1757,4876
2015-07-01,2015,7,30,4798
2015-08-01,2015,8,168,4936
2015-11-01,2015,11,51,5162
2015-12-01,2015,12,102,5409
2016-01-01,2016,1,217,6192
2016-08-01,2016,8,10,6643
2017-01-01,2017,1,43,6463
2017-08-01,2017,8,49,5052
2017-11-01,2017,11,135,5378
2018-01-01,2018,1,174,6344
2018-11-01,2018,11,99,6818
2018-12-01,2018,12,100,6893
2019-11-01,2019,11,89,6392
