Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,5,2567
2002-07-01,2002,7,2,2500
2002-08-01,2002,8,4,3125
2002-11-01,2002,11,4,3300
2002-12-01,2002,12,5,3200
2003-06-01,2003,6,3,1775
2003-07-01,2003,7,4,1562
2003-08-01,2003,8,2,2250
2003-11-01,2003,11,6,2125
2004-06-01,2004,6,2,1800
2004-12-01,2004,12,3,1150
2005-06-01,2005,6,4,1067
2005-07-01,2005,7,3,1400
2005-08-01,2005,8,2,1700
2005-11-01,2005,11,2,2000
2006-06-01,2006,6,7,3200
2006-07-01,2006,7,1,3200
2006-11-01,2006,11,3,4000
2007-06-01,2007,6,5,3100
2007-07-01,2007,7,9,3560
2007-08-01,2007,8,2,3900
2007-11-01,2007,11,18,3140
2007-12-01,2007,12,4,3250
2008-01-01,2008,1,3,3500
2008-11-01,2008,11,4,1500
2009-06-01,2009,6,19,2300
2009-11-01,2009,11,18,4750
2009-12-01,2009,12,3,6167
2010-06-01,2010,6,20,7500
2010-07-01,2010,7,8,8833
2010-08-01,2010,8,1,10500
