Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,111,1250
2003-07-01,2003,7,83,1175
2003-08-01,2003,8,147,1000
2003-11-01,2003,11,206,1133
2003-12-01,2003,12,58,1117
2004-01-01,2004,1,166,1275
2004-06-01,2004,6,38,1500
2004-07-01,2004,7,58,1000
2004-08-01,2004,8,113,1105
2004-11-01,2004,11,138,1069
2004-12-01,2004,12,170,1119
2005-01-01,2005,1,140,944
2005-06-01,2005,6,98,1085
2005-07-01,2005,7,64,1292
2005-08-01,2005,8,160,1285
2005-11-01,2005,11,89,1688
2005-12-01,2005,12,63,2017
2006-01-01,2006,1,97,1900
2006-06-01,2006,6,74,2767
2006-07-01,2006,7,96,2762
2006-08-01,2006,8,101,3267
2006-11-01,2006,11,34,4200
2006-12-01,2006,12,10,5500
2007-01-01,2007,1,40,5417
2007-06-01,2007,6,66,2662
2007-07-01,2007,7,80,3140
2007-08-01,2007,8,58,3510
2007-11-01,2007,11,52,3850
2007-12-01,2007,12,35,5133
2008-01-01,2008,1,53,3875
2008-07-01,2008,7,22,1500
2009-06-01,2009,6,125,2738
2009-07-01,2009,7,174,2970
2009-11-01,2009,11,175,3874
2009-12-01,2009,12,128,4300
2010-01-01,2010,1,118,4750
2010-06-01,2010,6,161,3713
2010-07-01,2010,7,81,4535
2010-08-01,2010,8,76,6832
2010-11-01,2010,11,165,9028
2010-12-01,2010,12,60,12263
2011-01-01,2011,1,70,14132
2011-06-01,2011,6,255,3601
2011-07-01,2011,7,207,2964
2011-08-01,2011,8,192,2898
2011-11-01,2011,11,157,5452
2011-12-01,2011,12,189,4397
2012-01-01,2012,1,259,3466
2012-06-01,2012,6,143,1303
2012-07-01,2012,7,173,1206
2012-08-01,2012,8,241,1305
2012-11-01,2012,11,16,1150
2012-12-01,2012,12,1,1190
2013-01-01,2013,1,16,1108
2013-06-01,2013,6,320,2515
2013-07-01,2013,7,244,2196
2013-08-01,2013,8,75,2141
2014-01-01,2014,1,194,2672
2014-06-01,2014,6,236,2234
2014-07-01,2014,7,215,3124
2014-08-01,2014,8,153,3897
2014-11-01,2014,11,221,3097
2014-12-01,2014,12,208,2899
2015-01-01,2015,1,1753,3596
2015-06-01,2015,6,167,3575
2015-07-01,2015,7,158,3708
2015-08-01,2015,8,211,5045
2015-11-01,2015,11,150,4002
2015-12-01,2015,12,61,6274
2016-01-01,2016,1,124,8260
2016-06-01,2016,6,206,6705
2016-07-01,2016,7,161,6762
2016-08-01,2016,8,121,8407
2016-11-01,2016,11,169,8007
2016-12-01,2016,12,146,8544
2017-01-01,2017,1,75,8821
2017-06-01,2017,6,306,3090
2017-07-01,2017,7,312,2915
2017-08-01,2017,8,308,2959
2017-11-01,2017,11,339,2481
2017-12-01,2017,12,301,2130
2018-01-01,2018,1,411,1903
2018-06-01,2018,6,342,1396
2018-07-01,2018,7,262,1423
2018-08-01,2018,8,221,1894
2018-11-01,2018,11,245,1743
2018-12-01,2018,12,215,1249
2019-01-01,2019,1,256,1667
2019-06-01,2019,6,204,4066
2019-07-01,2019,7,297,5151
2019-08-01,2019,8,233,5532
2019-11-01,2019,11,211,11802
2019-12-01,2019,12,226,10367
