Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2014-07-01,2014,7,8,2000
2014-08-01,2014,8,3,2000
2014-11-01,2014,11,4,1950
2014-12-01,2014,12,4,2000
2015-01-01,2015,1,46,1960
2015-06-01,2015,6,8,1917
2015-07-01,2015,7,13,2238
2015-08-01,2015,8,6,2360
2015-11-01,2015,11,4,2750
2015-12-01,2015,12,4,2875
2016-01-01,2016,1,3,3000
2016-06-01,2016,6,5,3000
2016-07-01,2016,7,7,2980
2016-08-01,2016,8,5,3180
2016-11-01,2016,11,5,3800
2016-12-01,2016,12,3,4333
2017-01-01,2017,1,1,5000
2017-06-01,2017,6,6,2600
2017-07-01,2017,7,4,2600
2017-08-01,2017,8,5,2500
2017-11-01,2017,11,6,1960
2017-12-01,2017,12,4,2425
2018-01-01,2018,1,7,2120
2018-06-01,2018,6,6,1900
2018-07-01,2018,7,6,1750
2018-08-01,2018,8,9,1743
2018-11-01,2018,11,8,1617
2018-12-01,2018,12,6,1667
2019-01-01,2019,1,7,1733
2019-06-01,2019,6,1,1600
2019-07-01,2019,7,6,2280
2019-08-01,2019,8,5,2400
2019-11-01,2019,11,4,3050
2019-12-01,2019,12,3,3333
