Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,21,2362
2002-07-01,2002,7,11,2362
2002-08-01,2002,8,9,2285
2002-11-01,2002,11,14,2555
2002-12-01,2002,12,9,2367
2003-01-01,2003,1,10,2334
2003-06-01,2003,6,10,1669
2003-07-01,2003,7,12,1479
2003-08-01,2003,8,11,1626
2003-11-01,2003,11,6,1727
2003-12-01,2003,12,4,1475
2004-01-01,2004,1,9,1910
2004-06-01,2004,6,7,2083
2004-07-01,2004,7,3,2067
2004-08-01,2004,8,4,1838
2004-11-01,2004,11,6,1262
2004-12-01,2004,12,12,854
2005-01-01,2005,1,12,1056
2005-06-01,2005,6,12,1220
2005-07-01,2005,7,14,1410
2005-08-01,2005,8,12,1650
2005-11-01,2005,11,6,1750
2005-12-01,2005,12,9,1817
2006-01-01,2006,1,14,1675
2006-06-01,2006,6,12,2750
2006-07-01,2006,7,12,3225
2006-08-01,2006,8,12,3175
2006-11-01,2006,11,14,3175
2006-12-01,2006,12,12,3767
2007-01-01,2007,1,11,3800
2007-06-01,2007,6,24,3233
2007-07-01,2007,7,17,3525
2007-08-01,2007,8,14,3800
2007-11-01,2007,11,29,2960
2007-12-01,2007,12,22,3475
2008-01-01,2008,1,16,3467
2008-06-01,2008,6,25,1875
2008-07-01,2008,7,19,1167
2008-08-01,2008,8,20,1200
2008-11-01,2008,11,11,1400
2009-11-01,2009,11,11,3000
2010-12-01,2010,12,15,7333
2011-01-01,2011,1,3,9000
2012-11-01,2012,11,14,3775
2012-12-01,2012,12,20,3350
2013-01-01,2013,1,19,2967
2013-06-01,2013,6,27,6167
2013-07-01,2013,7,34,6575
2013-08-01,2013,8,25,6167
2013-11-01,2013,11,22,4017
2013-12-01,2013,12,33,4112
2014-01-01,2014,1,25,4500
2014-06-01,2014,6,36,4700
2014-07-01,2014,7,36,4850
2014-11-01,2014,11,27,5100
2014-12-01,2014,12,27,5583
2015-01-01,2015,1,330,6112
2015-06-01,2015,6,33,5875
2015-07-01,2015,7,36,5975
2015-08-01,2015,8,29,9400
2015-11-01,2015,11,18,8500
2015-12-01,2015,12,37,7990
2016-01-01,2016,1,28,8167
2016-06-01,2016,6,38,6350
2016-07-01,2016,7,38,6400
2016-08-01,2016,8,29,7433
2016-11-01,2016,11,17,8100
2016-12-01,2016,12,34,6025
2017-01-01,2017,1,29,7167
2017-06-01,2017,6,30,2638
2017-07-01,2017,7,26,2900
2017-08-01,2017,8,24,3900
2017-11-01,2017,11,33,4750
2017-12-01,2017,12,39,5400
2018-01-01,2018,1,29,4625
2018-06-01,2018,6,38,2350
2018-07-01,2018,7,29,2600
2018-08-01,2018,8,35,2980
2018-11-01,2018,11,39,2060
2018-12-01,2018,12,32,1133
2019-01-01,2019,1,50,1650
2019-06-01,2019,6,14,4250
2019-07-01,2019,7,15,5900
2019-08-01,2019,8,25,7000
2019-11-01,2019,11,22,8000
2019-12-01,2019,12,17,14125
