Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-07-01,2011,7,1,6000
2012-07-01,2012,7,3,3300
2012-11-01,2012,11,10,2043
2012-12-01,2012,12,15,2088
2013-01-01,2013,1,16,1892
2013-06-01,2013,6,22,2303
2013-07-01,2013,7,20,2480
2014-01-01,2014,1,1,5200
2014-06-01,2014,6,20,5180
2014-07-01,2014,7,11,5278
2014-08-01,2014,8,7,5625
2014-11-01,2014,11,9,5438
2014-12-01,2014,12,11,5628
2015-01-01,2015,1,86,5519
2015-06-01,2015,6,12,5869
2015-07-01,2015,7,13,6145
2015-08-01,2015,8,5,6250
2015-11-01,2015,11,6,8280
2015-12-01,2015,12,21,10967
2016-01-01,2016,1,3,11467
2016-06-01,2016,6,7,8150
2016-07-01,2016,7,4,9133
2016-08-01,2016,8,2,9100
2016-11-01,2016,11,1,9650
2016-12-01,2016,12,5,9960
2017-06-01,2017,6,3,7700
2017-07-01,2017,7,1,9850
2017-12-01,2017,12,1,4000
2018-01-01,2018,1,1,3300
2018-06-01,2018,6,5,3720
2018-07-01,2018,7,1,3800
2018-08-01,2018,8,5,3400
2018-12-01,2018,12,1,4000
2019-01-01,2019,1,1,3500
2019-11-01,2019,11,2,6800
