Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-12-01,2002,12,17,460
2004-11-01,2004,11,257,752
2004-12-01,2004,12,71,809
2005-01-01,2005,1,72,850
2008-08-01,2008,8,3,1000
2015-01-01,2015,1,233,4500
2015-06-01,2015,6,9,5000
2015-07-01,2015,7,12,5000
2015-08-01,2015,8,10,5000
2015-11-01,2015,11,23,6667
2015-12-01,2015,12,25,7000
2016-01-01,2016,1,17,8000
2016-12-01,2016,12,9,5000
2017-01-01,2017,1,16,8742
2017-11-01,2017,11,16,5100
2017-12-01,2017,12,36,5925
2018-01-01,2018,1,25,7100
2018-06-01,2018,6,18,10000
2018-08-01,2018,8,23,6043
2018-11-01,2018,11,8,10500
2018-12-01,2018,12,3,10500
2019-06-01,2019,6,5,9000
