Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,5,2225
2003-07-01,2003,7,1,2750
2003-08-01,2003,8,12,2275
2003-11-01,2003,11,38,1925
2003-12-01,2003,12,8,2000
2004-01-01,2004,1,15,2283
2004-06-01,2004,6,1,4000
2004-08-01,2004,8,15,2100
2004-11-01,2004,11,660,1150
2004-12-01,2004,12,348,1270
2005-01-01,2005,1,332,1190
2005-06-01,2005,6,164,1764
2005-07-01,2005,7,32,1740
2005-08-01,2005,8,8,1617
2008-11-01,2008,11,522,1712
2008-12-01,2008,12,352,1582
2010-11-01,2010,11,7,1950
2011-07-01,2011,7,9,5000
2012-06-01,2012,6,54,2500
2012-08-01,2012,8,37,2750
2012-11-01,2012,11,1,2500
2012-12-01,2012,12,18,3889
2015-08-01,2015,8,46,5098
2016-01-01,2016,1,11,8000
2016-06-01,2016,6,61,8390
2016-07-01,2016,7,28,6348
2016-08-01,2016,8,21,8553
2016-11-01,2016,11,17,6700
2016-12-01,2016,12,16,3000
2017-07-01,2017,7,24,5000
2017-08-01,2017,8,10,4000
2017-11-01,2017,11,55,6100
2017-12-01,2017,12,28,6340
2018-01-01,2018,1,275,5202
2018-06-01,2018,6,20,7000
2018-07-01,2018,7,296,1500
2018-08-01,2018,8,1,10000
2018-11-01,2018,11,30,10850
2018-12-01,2018,12,107,11738
2019-01-01,2019,1,63,12372
2019-11-01,2019,11,138,11321
2019-12-01,2019,12,93,12271
