Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,9,550
2002-07-01,2002,7,18,525
2002-11-01,2002,11,206,480
2002-12-01,2002,12,113,512
2005-01-01,2005,1,24,1175
2011-06-01,2011,6,140,4938
2011-07-01,2011,7,114,2452
2012-06-01,2012,6,210,2392
2012-08-01,2012,8,86,2988
2012-11-01,2012,11,73,2750
2012-12-01,2012,12,25,4000
2014-01-01,2014,1,17,8500
2014-06-01,2014,6,34,6068
2014-07-01,2014,7,28,6250
2015-01-01,2015,1,641,7278
2015-07-01,2015,7,13,8400
2015-08-01,2015,8,30,6500
2015-11-01,2015,11,128,8000
2015-12-01,2015,12,80,8182
2016-01-01,2016,1,18,5000
2016-12-01,2016,12,5,6800
2017-11-01,2017,11,13,5500
2017-12-01,2017,12,13,6500
2018-06-01,2018,6,8,7000
2018-12-01,2018,12,6,2500
