Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2012-01-01,2012,1,111,4667
2012-06-01,2012,6,95,4258
2012-08-01,2012,8,11,5250
2012-11-01,2012,11,9,5500
2012-12-01,2012,12,14,5500
2014-08-01,2014,8,120,7080
2015-01-01,2015,1,877,10643
2015-06-01,2015,6,73,8075
2015-07-01,2015,7,55,10367
2015-08-01,2015,8,32,18150
2015-12-01,2015,12,2,20000
2016-01-01,2016,1,187,10111
2016-06-01,2016,6,47,6667
2016-07-01,2016,7,36,12333
2016-08-01,2016,8,107,6770
2016-11-01,2016,11,36,5648
2016-12-01,2016,12,115,8021
2017-01-01,2017,1,103,9157
2017-06-01,2017,6,78,6140
2017-07-01,2017,7,211,8500
2017-08-01,2017,8,271,7550
2017-11-01,2017,11,109,9512
2017-12-01,2017,12,37,10289
2018-01-01,2018,1,195,8038
2018-06-01,2018,6,217,9000
2018-07-01,2018,7,128,10000
2018-08-01,2018,8,262,9933
2018-11-01,2018,11,71,10380
2018-12-01,2018,12,11,14101
2019-06-01,2019,6,15,12000
2019-07-01,2019,7,3,10000
2019-08-01,2019,8,2,25000
2019-11-01,2019,11,63,10623
2019-12-01,2019,12,26,24604
