Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-06-01,2005,6,115,967
2005-07-01,2005,7,26,950
2005-11-01,2005,11,95,700
2005-12-01,2005,12,26,700
2006-06-01,2006,6,40,450
2007-06-01,2007,6,22,600
2007-12-01,2007,12,8,600
2008-01-01,2008,1,8,600
2008-06-01,2008,6,15,550
2008-07-01,2008,7,9,600
2010-06-01,2010,6,11,2000
2014-06-01,2014,6,3,5000
2015-01-01,2015,1,150,926
2015-06-01,2015,6,12,7167
2015-07-01,2015,7,15,9000
2015-08-01,2015,8,10,12500
2015-11-01,2015,11,5,1300
2015-12-01,2015,12,10,1500
2016-07-01,2016,7,33,1250
2019-01-01,2019,1,21,1700
