Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,19,633
2002-08-01,2002,8,11,590
2002-12-01,2002,12,8,560
2003-08-01,2003,8,13,585
2006-12-01,2006,12,6,500
2007-01-01,2007,1,6,500
2007-08-01,2007,8,6,550
2007-12-01,2007,12,10,666
2008-06-01,2008,6,7,550
2008-07-01,2008,7,6,615
2008-11-01,2008,11,12,722
2008-12-01,2008,12,26,716
2009-11-01,2009,11,6,1000
2015-01-01,2015,1,70,4000
2015-12-01,2015,12,577,1200
2016-06-01,2016,6,14,6750
2016-07-01,2016,7,5,6000
2016-08-01,2016,8,7,2286
2016-11-01,2016,11,6,5500
2016-12-01,2016,12,8,5000
2017-01-01,2017,1,8,5000
2017-06-01,2017,6,56,4222
2017-07-01,2017,7,112,3992
2017-08-01,2017,8,19,4400
2017-11-01,2017,11,10,5800
2018-07-01,2018,7,61,6361
2019-08-01,2019,8,75,3100
