Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-06-01,2011,6,25,9732
2011-07-01,2011,7,9,4000
2013-12-01,2013,12,10,9750
2014-07-01,2014,7,2,4000
2015-01-01,2015,1,66,8800
2015-07-01,2015,7,22,886
2015-08-01,2015,8,71,1000
2015-11-01,2015,11,5,12866
2015-12-01,2015,12,10,1000
2016-01-01,2016,1,19,11600
2016-06-01,2016,6,14,3000
2016-08-01,2016,8,15,6000
2016-12-01,2016,12,9,6792
2017-01-01,2017,1,11,7300
2017-06-01,2017,6,49,18600
2017-07-01,2017,7,2,4800
2017-11-01,2017,11,1,14000
2018-01-01,2018,1,18,4500
2018-12-01,2018,12,4,42000
2019-08-01,2019,8,3,2000
