Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,20,1350
2002-07-01,2002,7,138,1183
2002-08-01,2002,8,70,1217
2002-11-01,2002,11,15,850
2002-12-01,2002,12,7,917
2003-06-01,2003,6,9,1546
2003-07-01,2003,7,2,1900
2003-08-01,2003,8,13,1169
2003-11-01,2003,11,1,1350
2004-06-01,2004,6,5,1613
2005-06-01,2005,6,38,1538
2005-07-01,2005,7,15,1640
2005-08-01,2005,8,19,1513
2005-11-01,2005,11,1,1525
2006-01-01,2006,1,2,1400
2006-06-01,2006,6,9,1540
2006-07-01,2006,7,76,1528
2006-08-01,2006,8,15,1640
2007-06-01,2007,6,50,2186
2007-07-01,2007,7,47,2003
2007-11-01,2007,11,4,2125
2007-12-01,2007,12,15,1700
2008-01-01,2008,1,14,1870
2008-06-01,2008,6,137,2339
2008-07-01,2008,7,130,2262
2008-08-01,2008,8,3,2306
2008-11-01,2008,11,2,2000
2009-06-01,2009,6,55,2137
2009-07-01,2009,7,1,1413
2009-08-01,2009,8,2,2100
2009-12-01,2009,12,9,2193
2010-06-01,2010,6,67,2515
2010-07-01,2010,7,6,2850
2010-08-01,2010,8,18,1015
2011-06-01,2011,6,24,3045
2011-07-01,2011,7,21,3236
2011-08-01,2011,8,5,4000
2011-11-01,2011,11,1,3000
2011-12-01,2011,12,24,3500
2012-01-01,2012,1,36,2825
2012-07-01,2012,7,136,3657
2012-08-01,2012,8,4,4000
2012-12-01,2012,12,11,4000
2013-06-01,2013,6,18,3134
2013-07-01,2013,7,10,3995
2013-11-01,2013,11,5,4000
2013-12-01,2013,12,2,6000
2014-06-01,2014,6,38,3062
2014-11-01,2014,11,5,1613
2015-06-01,2015,6,28,3953
2015-07-01,2015,7,1,4000
2015-08-01,2015,8,41,3510
2016-01-01,2016,1,6,4000
2016-06-01,2016,6,18,3950
2016-07-01,2016,7,4,5200
2017-06-01,2017,6,19,2702
2018-01-01,2018,1,5,1800
2019-07-01,2019,7,5,4000
