Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1662,1249
2002-07-01,2002,7,565,1399
2002-08-01,2002,8,102,1477
2002-11-01,2002,11,17,1557
2002-12-01,2002,12,36,1419
2003-01-01,2003,1,10,1563
2003-06-01,2003,6,1357,1938
2003-07-01,2003,7,192,1881
2003-08-01,2003,8,125,1526
2003-11-01,2003,11,125,1661
2003-12-01,2003,12,121,1647
2004-01-01,2004,1,63,1655
2004-06-01,2004,6,954,1670
2004-07-01,2004,7,1171,1699
2004-08-01,2004,8,765,1770
2004-11-01,2004,11,11,1583
2004-12-01,2004,12,30,1388
2005-01-01,2005,1,7,1371
2005-06-01,2005,6,409,1646
2005-07-01,2005,7,365,1756
2005-08-01,2005,8,481,1705
2005-11-01,2005,11,17,1410
2005-12-01,2005,12,18,1372
2006-01-01,2006,1,3,1280
2006-07-01,2006,7,1523,1680
2006-08-01,2006,8,2441,1739
2006-11-01,2006,11,37,1867
2006-12-01,2006,12,3,1885
2007-01-01,2007,1,3,1480
2007-06-01,2007,6,2943,2515
2007-07-01,2007,7,955,2576
2007-08-01,2007,8,72,2335
2007-11-01,2007,11,30,1852
2007-12-01,2007,12,9,1810
2008-01-01,2008,1,2,1157
2008-06-01,2008,6,6848,2481
2008-07-01,2008,7,2720,2495
2008-08-01,2008,8,2276,2489
2008-11-01,2008,11,286,2098
2008-12-01,2008,12,16,2256
2009-06-01,2009,6,7078,2503
2009-07-01,2009,7,1340,2302
2009-08-01,2009,8,1286,2362
2009-11-01,2009,11,15,2157
2009-12-01,2009,12,9,2218
2010-01-01,2010,1,10,2064
2010-06-01,2010,6,1593,3054
2010-07-01,2010,7,804,3379
2010-08-01,2010,8,42,3474
2010-11-01,2010,11,3,1810
2011-01-01,2011,1,1,2062
2011-06-01,2011,6,5118,3890
2011-07-01,2011,7,4286,3806
2011-08-01,2011,8,3457,3768
2011-11-01,2011,11,53,3288
2011-12-01,2011,12,9,3348
2012-01-01,2012,1,1,2529
2012-06-01,2012,6,4990,4585
2012-07-01,2012,7,2001,4700
2012-08-01,2012,8,3,4842
2012-11-01,2012,11,54,3649
2012-12-01,2012,12,30,3892
2013-01-01,2013,1,44,3777
2013-06-01,2013,6,4457,4049
2013-07-01,2013,7,4722,4175
2013-08-01,2013,8,795,4140
2013-11-01,2013,11,90,2924
2013-12-01,2013,12,20,2828
2014-01-01,2014,1,48,2697
2014-06-01,2014,6,6240,3584
2014-07-01,2014,7,6605,3718
2014-08-01,2014,8,50,3935
2014-11-01,2014,11,954,1670
2015-01-01,2015,1,203,3160
2015-06-01,2015,6,2883,5648
2015-07-01,2015,7,1170,5587
2015-08-01,2015,8,85,4776
2015-11-01,2015,11,36,2990
2015-12-01,2015,12,17,3975
2016-01-01,2016,1,64,3176
2016-06-01,2016,6,257,5366
2016-07-01,2016,7,49,5000
2016-08-01,2016,8,19,3810
2016-11-01,2016,11,6,2868
2017-01-01,2017,1,6,3272
2017-06-01,2017,6,442,4605
2017-07-01,2017,7,305,4384
2017-08-01,2017,8,148,4154
2017-11-01,2017,11,7,2576
2017-12-01,2017,12,13,2518
2018-01-01,2018,1,38,2443
2018-06-01,2018,6,364,3750
2018-07-01,2018,7,210,4032
2018-08-01,2018,8,37,4214
2018-11-01,2018,11,2,4062
2019-06-01,2019,6,170,5588
2019-07-01,2019,7,28,5753
2019-08-01,2019,8,3,5731
2019-11-01,2019,11,5,3052
2019-12-01,2019,12,1,3674
