Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,171,1470
2002-07-01,2002,7,131,1339
2002-08-01,2002,8,2,1664
2002-11-01,2002,11,350,1523
2002-12-01,2002,12,988,1509
2003-01-01,2003,1,876,1683
2003-06-01,2003,6,173,1868
2003-07-01,2003,7,62,2000
2003-08-01,2003,8,149,1822
2003-11-01,2003,11,419,1696
2003-12-01,2003,12,361,1636
2004-01-01,2004,1,137,1674
2004-06-01,2004,6,129,1724
2004-07-01,2004,7,24,1685
2004-08-01,2004,8,11,1641
2004-11-01,2004,11,781,1661
2004-12-01,2004,12,214,1562
2005-01-01,2005,1,280,1601
2005-06-01,2005,6,672,1654
2005-07-01,2005,7,268,1648
2005-08-01,2005,8,249,1640
2005-11-01,2005,11,501,1662
2005-12-01,2005,12,677,1651
2006-01-01,2006,1,878,1642
2006-06-01,2006,6,207,1668
2006-07-01,2006,7,42,1685
2006-08-01,2006,8,379,1706
2006-11-01,2006,11,257,1878
2006-12-01,2006,12,1259,1913
2007-01-01,2007,1,245,1963
2007-06-01,2007,6,73,2460
2007-07-01,2007,7,137,2428
2007-08-01,2007,8,221,2234
2007-11-01,2007,11,1298,2280
2007-12-01,2007,12,1729,2272
2008-01-01,2008,1,631,2305
2008-06-01,2008,6,495,2413
2008-07-01,2008,7,311,2560
2008-08-01,2008,8,1373,2576
2008-11-01,2008,11,897,2576
2008-12-01,2008,12,1235,2418
2009-01-01,2009,1,595,2307
2009-06-01,2009,6,598,2459
2009-07-01,2009,7,282,2481
2009-08-01,2009,8,272,2473
2009-11-01,2009,11,366,2833
2009-12-01,2009,12,278,2724
2010-01-01,2010,1,182,2568
2010-06-01,2010,6,46,2926
2010-07-01,2010,7,3,2350
2010-12-01,2010,12,900,3064
2011-01-01,2011,1,294,2883
2011-06-01,2011,6,58,3883
2011-07-01,2011,7,10,2743
2011-11-01,2011,11,638,3956
2011-12-01,2011,12,611,3893
2012-01-01,2012,1,52,3907
2012-06-01,2012,6,22,4540
2012-07-01,2012,7,6,4560
2012-11-01,2012,11,1560,5682
2012-12-01,2012,12,1518,5243
2013-01-01,2013,1,113,4404
2013-06-01,2013,6,58,3739
2013-07-01,2013,7,11,3616
2013-08-01,2013,8,4,3273
2014-01-01,2014,1,311,2971
2014-06-01,2014,6,33,3341
2014-07-01,2014,7,13,3313
2014-08-01,2014,8,1,3609
2014-11-01,2014,11,129,1724
2014-12-01,2014,12,1488,3434
2015-01-01,2015,1,1516,3837
2015-06-01,2015,6,15,4968
2015-07-01,2015,7,9,5563
2015-08-01,2015,8,11,6175
2015-11-01,2015,11,659,4164
2015-12-01,2015,12,920,4173
2016-01-01,2016,1,116,4270
2016-06-01,2016,6,50,5010
2016-07-01,2016,7,17,5112
2016-08-01,2016,8,60,5360
2016-11-01,2016,11,1395,4341
2016-12-01,2016,12,326,4590
2017-01-01,2017,1,62,4827
2017-06-01,2017,6,37,4759
2017-07-01,2017,7,23,4694
2017-08-01,2017,8,35,4484
2017-11-01,2017,11,1933,3724
2017-12-01,2017,12,1099,3630
2018-01-01,2018,1,192,3638
2018-06-01,2018,6,95,3630
2018-07-01,2018,7,106,4266
2018-08-01,2018,8,280,5020
2018-11-01,2018,11,686,4198
2018-12-01,2018,12,1307,4107
2019-01-01,2019,1,131,4394
2019-06-01,2019,6,17,5951
2019-07-01,2019,7,32,6232
2019-08-01,2019,8,143,6768
2019-11-01,2019,11,720,4761
2019-12-01,2019,12,1423,4308
