Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,5,1000
2002-11-01,2002,11,3,650
2002-12-01,2002,12,27,1250
2003-01-01,2003,1,15,1344
2003-06-01,2003,6,12,1500
2003-07-01,2003,7,7,1467
2003-08-01,2003,8,11,1360
2003-11-01,2003,11,5,1100
2003-12-01,2003,12,167,1536
2004-01-01,2004,1,17,1433
2004-07-01,2004,7,3,1400
2004-11-01,2004,11,24,1500
2004-12-01,2004,12,42,1500
2005-01-01,2005,1,32,1500
2005-06-01,2005,6,5,1600
2005-07-01,2005,7,123,1567
2005-08-01,2005,8,5,1600
2005-11-01,2005,11,52,1480
2005-12-01,2005,12,35,1450
2006-01-01,2006,1,12,1400
2006-07-01,2006,7,36,1583
2006-12-01,2006,12,36,1520
2007-01-01,2007,1,12,1633
2007-11-01,2007,11,6,1900
2011-11-01,2011,11,8,1500
2012-01-01,2012,1,3,3000
2012-11-01,2012,11,11,2680
2012-12-01,2012,12,2,3700
2013-01-01,2013,1,2,4000
2013-11-01,2013,11,5,2767
2014-01-01,2014,1,1,4000
2014-12-01,2014,12,4,2850
2015-11-01,2015,11,34,2673
2015-12-01,2015,12,6,3000
2016-11-01,2016,11,3,2900
