Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,2,1575
2003-08-01,2003,8,4,920
2003-11-01,2003,11,4,1512
2004-01-01,2004,1,9,1615
2004-11-01,2004,11,43,1474
2006-11-01,2006,11,4,1498
2007-11-01,2007,11,283,1750
2008-07-01,2008,7,10,1198
2008-11-01,2008,11,49,2078
2009-11-01,2009,11,64,2333
2010-11-01,2010,11,14,1787
2011-06-01,2011,6,1,1700
2011-11-01,2011,11,20,3095
2012-06-01,2012,6,2,6200
2012-07-01,2012,7,13,5130
2012-08-01,2012,8,6,3312
2012-11-01,2012,11,45,4794
2015-06-01,2015,6,25,2150
2015-08-01,2015,8,66,3390
2015-11-01,2015,11,3,3300
2016-01-01,2016,1,6,9600
2016-11-01,2016,11,68,4307
2017-11-01,2017,11,38,3115
2017-12-01,2017,12,5,3929
2018-01-01,2018,1,2,2834
2018-11-01,2018,11,16,4130
2019-01-01,2019,1,8,2509
2019-06-01,2019,6,11,5111
2019-11-01,2019,11,18,3636
