Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,649,552
2002-12-01,2002,12,874,498
2003-01-01,2003,1,49,568
2003-08-01,2003,8,74,576
2003-11-01,2003,11,18,555
2003-12-01,2003,12,92,586
2004-01-01,2004,1,65,537
2004-11-01,2004,11,87,750
2005-01-01,2005,1,24,872
2005-06-01,2005,6,2,1000
2006-08-01,2006,8,67,1237
2007-01-01,2007,1,1,1000
2008-01-01,2008,1,4,1000
2008-06-01,2008,6,2,1300
2008-07-01,2008,7,2,1000
2008-11-01,2008,11,39,878
2008-12-01,2008,12,9,900
2009-11-01,2009,11,8,1075
2009-12-01,2009,12,11,1000
2010-01-01,2010,1,1,1250
2010-08-01,2010,8,9,1375
2010-11-01,2010,11,55,1032
2011-07-01,2011,7,1,1700
2011-08-01,2011,8,178,1152
2011-11-01,2011,11,10,1200
2012-11-01,2012,11,23,1900
2015-08-01,2015,8,50,1800
2015-11-01,2015,11,15,2000
2015-12-01,2015,12,1,2000
2016-08-01,2016,8,63,1825
2017-11-01,2017,11,18,2000
