Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,30,1342
2002-07-01,2002,7,4,1100
2002-08-01,2002,8,3,1200
2002-11-01,2002,11,3,1000
2002-12-01,2002,12,19,1615
2003-01-01,2003,1,28,1450
2003-06-01,2003,6,15,1916
2003-07-01,2003,7,35,1866
2003-08-01,2003,8,9,1509
2003-11-01,2003,11,74,1554
2003-12-01,2003,12,92,1572
2004-01-01,2004,1,43,1679
2004-06-01,2004,6,7,1100
2004-07-01,2004,7,3,1200
2004-08-01,2004,8,21,1805
2004-11-01,2004,11,132,1545
2004-12-01,2004,12,157,1516
2005-01-01,2005,1,80,1452
2005-06-01,2005,6,111,1433
2005-07-01,2005,7,4,1380
2005-08-01,2005,8,29,1472
2005-11-01,2005,11,96,1421
2005-12-01,2005,12,95,1483
2006-01-01,2006,1,87,1364
2006-06-01,2006,6,61,1581
2006-07-01,2006,7,71,1586
2006-08-01,2006,8,41,1518
2006-11-01,2006,11,98,1831
2006-12-01,2006,12,73,1951
2007-01-01,2007,1,50,1934
2007-06-01,2007,6,87,2185
2007-07-01,2007,7,13,2460
2007-08-01,2007,8,23,2490
2007-11-01,2007,11,253,1783
2007-12-01,2007,12,347,1730
2008-01-01,2008,1,546,1911
2008-06-01,2008,6,270,2181
2008-07-01,2008,7,167,2349
2008-08-01,2008,8,214,2309
2008-11-01,2008,11,92,2120
2008-12-01,2008,12,77,2246
2009-01-01,2009,1,64,2307
2009-06-01,2009,6,113,2291
2009-07-01,2009,7,6,2400
2009-11-01,2009,11,250,2882
2009-12-01,2009,12,89,2783
2010-01-01,2010,1,62,2590
2010-06-01,2010,6,248,2801
2010-07-01,2010,7,325,3318
2010-08-01,2010,8,326,3472
2010-11-01,2010,11,64,2675
2010-12-01,2010,12,64,2809
2011-01-01,2011,1,48,2679
2011-06-01,2011,6,592,3759
2011-07-01,2011,7,434,3541
2011-08-01,2011,8,274,3495
2011-11-01,2011,11,43,3306
2011-12-01,2011,12,70,3244
2012-01-01,2012,1,77,3547
2012-06-01,2012,6,421,4374
2012-07-01,2012,7,278,4362
2012-08-01,2012,8,119,4566
2012-11-01,2012,11,22,4633
2012-12-01,2012,12,49,3766
2013-06-01,2013,6,296,4087
2013-07-01,2013,7,70,4034
2013-08-01,2013,8,107,3942
2013-11-01,2013,11,129,3547
2013-12-01,2013,12,106,3312
2014-01-01,2014,1,47,3235
2014-06-01,2014,6,364,3531
2014-07-01,2014,7,193,3592
2014-08-01,2014,8,84,3788
2014-11-01,2014,11,7,1100
2014-12-01,2014,12,227,4065
2015-01-01,2015,1,30,3000
2015-06-01,2015,6,46,5167
2015-07-01,2015,7,21,5587
2015-11-01,2015,11,45,3793
2015-12-01,2015,12,80,4542
2016-01-01,2016,1,50,4470
2016-06-01,2016,6,84,5204
2016-07-01,2016,7,3,4800
2016-08-01,2016,8,16,5700
2016-11-01,2016,11,53,4512
2016-12-01,2016,12,30,4396
2017-06-01,2017,6,5,4200
2017-11-01,2017,11,122,3639
2017-12-01,2017,12,51,3835
2018-01-01,2018,1,12,3550
2018-06-01,2018,6,56,3346
2018-07-01,2018,7,101,3562
2018-11-01,2018,11,6,4500
2018-12-01,2018,12,44,4000
2019-01-01,2019,1,6,5530
2019-11-01,2019,11,10,4775
2019-12-01,2019,12,8,4500
