Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,22,1231
2003-01-01,2003,1,4,1931
2003-06-01,2003,6,4,1449
2003-11-01,2003,11,10,2381
2003-12-01,2003,12,1,1675
2004-06-01,2004,6,13,1276
2004-07-01,2004,7,3,1405
2004-11-01,2004,11,1,1585
2006-06-01,2006,6,68,1534
2007-06-01,2007,6,3,2020
2008-06-01,2008,6,28,1947
2008-08-01,2008,8,1,2059
2009-06-01,2009,6,2,2229
2009-11-01,2009,11,1,1720
2010-06-01,2010,6,4,2474
2011-06-01,2011,6,4,3026
2011-07-01,2011,7,1,2110
2012-06-01,2012,6,167,3129
2013-01-01,2013,1,2,3850
2014-11-01,2014,11,13,1276
2014-12-01,2014,12,3,4000
2015-11-01,2015,11,6,4200
2016-12-01,2016,12,4,4500
2017-11-01,2017,11,2,3300
2017-12-01,2017,12,1,3639
2018-12-01,2018,12,3,4000
2019-11-01,2019,11,4,4578
2019-12-01,2019,12,3,4182
