Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,6,1605
2005-07-01,2005,7,1,1510
2005-08-01,2005,8,2,1510
2005-11-01,2005,11,9,1350
2006-06-01,2006,6,2,1500
2006-08-01,2006,8,6,1325
2006-12-01,2006,12,16,1800
2007-06-01,2007,6,15,2342
2007-11-01,2007,11,5,1856
2007-12-01,2007,12,19,1950
2008-01-01,2008,1,15,2350
2008-06-01,2008,6,14,2300
2009-06-01,2009,6,19,2300
2009-11-01,2009,11,5,2000
2009-12-01,2009,12,5,3160
2010-01-01,2010,1,3,2200
2010-06-01,2010,6,31,2503
2010-08-01,2010,8,19,2728
2010-11-01,2010,11,4,2925
2010-12-01,2010,12,5,2796
2011-06-01,2011,6,20,3000
2011-11-01,2011,11,2,3000
2011-12-01,2011,12,3,3600
2012-06-01,2012,6,53,3250
2012-11-01,2012,11,2,4000
2013-01-01,2013,1,15,3667
2013-06-01,2013,6,2,3200
2013-07-01,2013,7,13,4430
2013-08-01,2013,8,3,3000
2014-07-01,2014,7,28,4700
2015-07-01,2015,7,15,6780
2015-11-01,2015,11,6,6815
2016-01-01,2016,1,19,6650
