Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,2,1300
2003-12-01,2003,12,9,1710
2004-06-01,2004,6,4,1600
2004-08-01,2004,8,4,1675
2004-11-01,2004,11,15,1720
2004-12-01,2004,12,18,1668
2005-07-01,2005,7,12,1575
2005-08-01,2005,8,4,1510
2005-11-01,2005,11,4,1630
2006-06-01,2006,6,10,2000
2006-11-01,2006,11,6,1800
2007-11-01,2007,11,41,2300
2007-12-01,2007,12,36,1765
2008-01-01,2008,1,4,2080
2008-06-01,2008,6,22,2245
2008-07-01,2008,7,5,2325
2008-08-01,2008,8,5,2480
2008-12-01,2008,12,4,2480
2009-07-01,2009,7,7,2480
2009-11-01,2009,11,2,2600
2009-12-01,2009,12,9,2527
2010-06-01,2010,6,4,2650
2010-07-01,2010,7,4,2900
2010-08-01,2010,8,6,3000
2010-11-01,2010,11,6,2990
2010-12-01,2010,12,3,2950
2011-01-01,2011,1,27,2867
2011-06-01,2011,6,178,3307
2011-07-01,2011,7,91,3333
2011-11-01,2011,11,9,3100
2012-01-01,2012,1,45,3300
2012-06-01,2012,6,14,3800
2012-07-01,2012,7,12,4125
2012-08-01,2012,8,5,4200
2012-12-01,2012,12,21,4275
2013-06-01,2013,6,32,4142
2013-07-01,2013,7,7,4300
2013-11-01,2013,11,27,4000
2013-12-01,2013,12,24,4000
2014-06-01,2014,6,13,3200
2014-07-01,2014,7,5,3700
2014-08-01,2014,8,4,3600
2014-11-01,2014,11,4,1600
2015-11-01,2015,11,2,4400
2015-12-01,2015,12,11,3700
