Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,6,1000
2002-12-01,2002,12,15,1208
2003-01-01,2003,1,20,1210
2003-06-01,2003,6,3,1300
2003-11-01,2003,11,86,1467
2003-12-01,2003,12,72,1473
2004-01-01,2004,1,14,1483
2004-06-01,2004,6,2,1500
2004-08-01,2004,8,15,1550
2004-11-01,2004,11,53,1538
2004-12-01,2004,12,135,1575
2005-01-01,2005,1,192,1558
2007-11-01,2007,11,1,1100
2010-11-01,2010,11,54,3049
2010-12-01,2010,12,148,2432
2011-01-01,2011,1,14,2332
2011-11-01,2011,11,109,3188
2011-12-01,2011,12,323,3033
2012-11-01,2012,11,8,1862
2012-12-01,2012,12,49,4435
2013-01-01,2013,1,62,3252
2013-06-01,2013,6,1,1500
2014-01-01,2014,1,89,3936
2014-11-01,2014,11,2,1500
2015-11-01,2015,11,65,3886
2015-12-01,2015,12,20,3322
2016-01-01,2016,1,20,3770
2016-12-01,2016,12,1,4100
2017-11-01,2017,11,4,4000
2018-11-01,2018,11,12,2871
2019-12-01,2019,12,6,4000
