Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-11-01,2004,11,1,1800
2008-01-01,2008,1,1,2100
2008-11-01,2008,11,3,2600
2008-12-01,2008,12,3,2700
2009-01-01,2009,1,13,1777
2009-07-01,2009,7,2,2350
2009-11-01,2009,11,17,2400
2011-11-01,2011,11,83,3644
2011-12-01,2011,12,14,3459
2012-01-01,2012,1,1,3500
2012-11-01,2012,11,91,5264
2012-12-01,2012,12,11,4100
2014-08-01,2014,8,2,3250
2014-12-01,2014,12,32,3517
2015-01-01,2015,1,334,3680
2015-06-01,2015,6,5,4900
2015-11-01,2015,11,189,4312
2015-12-01,2015,12,49,4400
2016-01-01,2016,1,18,3767
2016-08-01,2016,8,2,5000
