Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,88,1215
2002-07-01,2002,7,22,1231
2002-08-01,2002,8,1,1450
2002-11-01,2002,11,474,1570
2002-12-01,2002,12,438,1584
2003-01-01,2003,1,360,1748
2003-07-01,2003,7,4,1867
2003-11-01,2003,11,462,1559
2003-12-01,2003,12,512,1577
2004-01-01,2004,1,322,1614
2004-06-01,2004,6,177,1440
2004-07-01,2004,7,35,1405
2004-08-01,2004,8,1,1613
2004-11-01,2004,11,495,1520
2004-12-01,2004,12,278,1558
2005-01-01,2005,1,114,1540
2005-06-01,2005,6,38,1662
2005-07-01,2005,7,6,1609
2006-01-01,2006,1,134,1466
2006-06-01,2006,6,55,1526
2006-07-01,2006,7,58,1550
2006-08-01,2006,8,3,1686
2006-11-01,2006,11,124,1799
2006-12-01,2006,12,1204,1813
2007-01-01,2007,1,465,1980
2007-06-01,2007,6,72,2128
2007-07-01,2007,7,2,2186
2007-11-01,2007,11,467,2016
2007-12-01,2007,12,912,1921
2008-01-01,2008,1,690,2092
2008-06-01,2008,6,335,2353
2008-07-01,2008,7,56,2367
2008-08-01,2008,8,20,2422
2008-11-01,2008,11,325,2119
2008-12-01,2008,12,255,2088
2009-01-01,2009,1,398,1947
2009-06-01,2009,6,527,1937
2009-07-01,2009,7,83,1849
2009-08-01,2009,8,6,2087
2009-11-01,2009,11,1040,2215
2009-12-01,2009,12,1065,2227
2010-01-01,2010,1,917,2249
2010-06-01,2010,6,197,2124
2010-07-01,2010,7,17,2413
2010-08-01,2010,8,4,2599
2010-11-01,2010,11,146,2628
2010-12-01,2010,12,506,2260
2011-01-01,2011,1,661,2345
2011-06-01,2011,6,712,2882
2011-07-01,2011,7,127,2673
2011-08-01,2011,8,11,2673
2011-11-01,2011,11,938,3206
2011-12-01,2011,12,1988,2996
2012-01-01,2012,1,869,3409
2012-06-01,2012,6,262,3888
2012-07-01,2012,7,28,4242
2012-08-01,2012,8,16,4318
2012-11-01,2012,11,525,4777
2012-12-01,2012,12,1108,4439
2013-01-01,2013,1,842,4294
2013-06-01,2013,6,459,3216
2013-07-01,2013,7,191,3332
2013-08-01,2013,8,27,3274
2014-01-01,2014,1,576,2976
2014-06-01,2014,6,444,2925
2014-07-01,2014,7,86,3122
2014-08-01,2014,8,26,3541
2014-11-01,2014,11,177,1440
2014-12-01,2014,12,416,3482
2015-01-01,2015,1,6407,3565
2015-06-01,2015,6,77,4693
2015-07-01,2015,7,43,4428
2015-08-01,2015,8,2,4259
2015-11-01,2015,11,251,4104
2015-12-01,2015,12,603,3847
2016-01-01,2016,1,444,4277
2016-06-01,2016,6,107,4929
2016-07-01,2016,7,19,4983
2016-08-01,2016,8,3,4554
2016-11-01,2016,11,460,4009
2016-12-01,2016,12,1072,4001
2017-01-01,2017,1,193,4093
2017-06-01,2017,6,146,3794
2017-07-01,2017,7,6,3408
2017-08-01,2017,8,1,3250
2017-11-01,2017,11,1360,3364
2017-12-01,2017,12,1469,2922
2018-01-01,2018,1,844,3247
2018-06-01,2018,6,383,2671
2018-07-01,2018,7,68,2958
2018-08-01,2018,8,23,3508
2018-11-01,2018,11,1376,4003
2018-12-01,2018,12,1542,3422
2019-01-01,2019,1,415,3468
2019-06-01,2019,6,59,4857
2019-07-01,2019,7,2,4586
2019-11-01,2019,11,1145,4213
2019-12-01,2019,12,1297,3610
