Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-11-01,2003,11,20,1840
2003-12-01,2003,12,10,1600
2006-11-01,2006,11,9,1600
2007-01-01,2007,1,3,1500
2008-06-01,2008,6,17,2350
2010-06-01,2010,6,53,2633
2011-06-01,2011,6,43,3727
2011-07-01,2011,7,35,3225
2011-08-01,2011,8,17,2520
2013-06-01,2013,6,10,3700
2013-07-01,2013,7,5,3450
2014-07-01,2014,7,56,3267
2014-08-01,2014,8,176,3650
2015-06-01,2015,6,157,5675
2015-07-01,2015,7,132,5125
2016-08-01,2016,8,9,5145
2018-01-01,2018,1,2,4022
2018-06-01,2018,6,21,3750
