Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,20,1362
2002-07-01,2002,7,12,1400
2002-08-01,2002,8,6,1300
2002-11-01,2002,11,68,1483
2002-12-01,2002,12,460,1390
2003-01-01,2003,1,592,1414
2003-06-01,2003,6,11,1892
2003-07-01,2003,7,14,1860
2003-08-01,2003,8,12,1600
2003-11-01,2003,11,42,1636
2003-12-01,2003,12,219,1655
2004-01-01,2004,1,104,1605
2004-08-01,2004,8,5,1600
2004-11-01,2004,11,456,1783
2004-12-01,2004,12,272,1613
2005-01-01,2005,1,103,1411
2005-07-01,2005,7,35,1550
2005-08-01,2005,8,3,1500
2006-01-01,2006,1,83,1269
2006-06-01,2006,6,41,1566
2006-11-01,2006,11,45,1817
2006-12-01,2006,12,269,1806
2007-01-01,2007,1,4,1550
2007-06-01,2007,6,189,2215
2007-07-01,2007,7,14,2150
2007-08-01,2007,8,44,2050
2007-11-01,2007,11,729,1974
2007-12-01,2007,12,238,2044
2008-01-01,2008,1,303,2243
2008-07-01,2008,7,21,2340
2008-08-01,2008,8,21,2357
2008-11-01,2008,11,630,2000
2008-12-01,2008,12,135,1994
2009-01-01,2009,1,82,2006
2009-06-01,2009,6,32,2139
2009-07-01,2009,7,5,2100
2009-11-01,2009,11,115,2585
2009-12-01,2009,12,422,2464
2010-01-01,2010,1,56,2282
2010-06-01,2010,6,53,2469
2010-07-01,2010,7,16,2500
2010-08-01,2010,8,40,2475
2010-11-01,2010,11,3,2736
2010-12-01,2010,12,513,2528
2011-01-01,2011,1,29,2567
2011-06-01,2011,6,52,2882
2011-07-01,2011,7,13,3083
2011-08-01,2011,8,15,3500
2011-11-01,2011,11,161,3267
2011-12-01,2011,12,174,3360
2012-01-01,2012,1,55,3458
2012-06-01,2012,6,69,3592
2012-07-01,2012,7,19,3600
2012-08-01,2012,8,4,3625
2012-11-01,2012,11,215,5233
2012-12-01,2012,12,235,4225
2013-01-01,2013,1,57,4131
2013-06-01,2013,6,56,3881
2013-07-01,2013,7,7,3650
2014-01-01,2014,1,63,3357
2014-06-01,2014,6,75,3267
2014-07-01,2014,7,5,3225
2014-08-01,2014,8,65,3260
2014-12-01,2014,12,59,3362
2015-01-01,2015,1,1587,3462
2015-06-01,2015,6,2,4000
2015-11-01,2015,11,302,3660
2015-12-01,2015,12,503,3632
2016-01-01,2016,1,207,3839
2016-06-01,2016,6,28,4303
2016-07-01,2016,7,24,4000
2016-08-01,2016,8,11,3500
2016-11-01,2016,11,106,4028
2016-12-01,2016,12,78,3933
2017-01-01,2017,1,9,4430
2017-06-01,2017,6,8,4842
2017-11-01,2017,11,137,3752
2017-12-01,2017,12,98,3634
2018-01-01,2018,1,48,3456
2018-06-01,2018,6,174,3377
2018-07-01,2018,7,72,3233
2018-08-01,2018,8,41,3462
2018-11-01,2018,11,190,4042
2018-12-01,2018,12,230,3916
2019-01-01,2019,1,46,4163
2019-06-01,2019,6,16,4717
2019-07-01,2019,7,30,4135
2019-08-01,2019,8,10,4500
2019-11-01,2019,11,331,4592
2019-12-01,2019,12,140,4351
