Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-06-01,2005,6,8,1400
2005-07-01,2005,7,3,1350
2005-08-01,2005,8,6,1350
2007-01-01,2007,1,2,1450
2007-06-01,2007,6,1,2275
2007-12-01,2007,12,1,1500
2008-06-01,2008,6,1,2842
2008-07-01,2008,7,1,2550
2008-08-01,2008,8,1,2100
2010-12-01,2010,12,1,2115
2011-01-01,2011,1,1,2100
2011-06-01,2011,6,2,2115
2011-07-01,2011,7,2,2115
2011-08-01,2011,8,4,2115
2012-01-01,2012,1,2,3000
2013-01-01,2013,1,1,2600
2015-01-01,2015,1,26,3500
2015-12-01,2015,12,4,4000
