Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,562,1504
2002-07-01,2002,7,147,1492
2002-08-01,2002,8,139,1549
2002-11-01,2002,11,86,1585
2002-12-01,2002,12,29,1562
2003-01-01,2003,1,65,1549
2003-06-01,2003,6,249,1678
2003-07-01,2003,7,44,1809
2003-08-01,2003,8,20,1500
2003-11-01,2003,11,265,1531
2003-12-01,2003,12,28,1532
2004-01-01,2004,1,90,1440
2004-06-01,2004,6,403,1533
2004-07-01,2004,7,198,1590
2004-08-01,2004,8,194,1338
2004-11-01,2004,11,21,1468
2005-01-01,2005,1,30,1450
2005-06-01,2005,6,428,1593
2005-07-01,2005,7,123,1583
2005-11-01,2005,11,3,1510
2005-12-01,2005,12,9,1462
2006-06-01,2006,6,776,1575
2006-07-01,2006,7,300,1574
2006-08-01,2006,8,49,1619
2006-11-01,2006,11,6,1562
2006-12-01,2006,12,24,1508
2007-01-01,2007,1,314,1506
2007-06-01,2007,6,217,2062
2007-07-01,2007,7,100,2140
2007-08-01,2007,8,10,2250
2007-12-01,2007,12,7,1900
2008-01-01,2008,1,26,1550
2008-06-01,2008,6,366,1833
2008-07-01,2008,7,148,1850
2008-08-01,2008,8,78,1838
2008-11-01,2008,11,41,1917
2008-12-01,2008,12,13,1950
2009-01-01,2009,1,205,1660
2009-06-01,2009,6,240,2329
2009-07-01,2009,7,162,2229
2009-08-01,2009,8,49,2230
2009-11-01,2009,11,22,2140
2009-12-01,2009,12,27,2025
2010-01-01,2010,1,265,1829
2010-06-01,2010,6,17,2700
2010-07-01,2010,7,23,2933
2010-08-01,2010,8,20,3138
2011-01-01,2011,1,12,2350
2011-06-01,2011,6,400,2990
2011-07-01,2011,7,135,3271
2011-08-01,2011,8,38,3175
2011-11-01,2011,11,14,2925
2011-12-01,2011,12,14,3038
2012-01-01,2012,1,204,3061
2012-06-01,2012,6,188,3833
2012-07-01,2012,7,68,4217
2012-08-01,2012,8,21,4906
2012-11-01,2012,11,38,4121
2012-12-01,2012,12,31,4470
2013-01-01,2013,1,129,4250
2013-06-01,2013,6,176,3820
2013-07-01,2013,7,95,3612
2013-08-01,2013,8,32,3200
2014-01-01,2014,1,16,2750
2014-06-01,2014,6,130,3050
2014-07-01,2014,7,50,3167
2014-08-01,2014,8,22,3570
2014-11-01,2014,11,403,1533
2014-12-01,2014,12,19,3306
2015-01-01,2015,1,1363,2994
2015-06-01,2015,6,24,4710
2015-07-01,2015,7,4,4814
2015-08-01,2015,8,5,4907
2015-11-01,2015,11,19,3721
2015-12-01,2015,12,12,3814
2016-01-01,2016,1,128,3817
2016-06-01,2016,6,34,4552
2016-07-01,2016,7,43,4625
2016-08-01,2016,8,36,4273
2016-11-01,2016,11,9,3735
2016-12-01,2016,12,3,3871
2017-01-01,2017,1,78,3954
2017-06-01,2017,6,116,3834
2017-07-01,2017,7,46,3881
2017-08-01,2017,8,10,3981
2017-11-01,2017,11,16,3230
2017-12-01,2017,12,52,2972
2018-01-01,2018,1,120,2857
2018-06-01,2018,6,170,3498
2018-07-01,2018,7,35,3591
2018-08-01,2018,8,19,3908
2018-11-01,2018,11,3,3837
2018-12-01,2018,12,3,3478
2019-01-01,2019,1,94,3407
2019-06-01,2019,6,100,5646
2019-07-01,2019,7,7,5428
2019-08-01,2019,8,14,5510
2019-11-01,2019,11,12,4474
2019-12-01,2019,12,86,3809
