Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,53,1321
2002-07-01,2002,7,3,1289
2002-08-01,2002,8,7,1048
2002-11-01,2002,11,24,1541
2002-12-01,2002,12,3,1393
2003-06-01,2003,6,13,1785
2003-11-01,2003,11,32,1680
2003-12-01,2003,12,28,1656
2004-06-01,2004,6,69,1573
2004-07-01,2004,7,12,1738
2004-08-01,2004,8,3,950
2004-11-01,2004,11,33,1455
2004-12-01,2004,12,5,1368
2005-06-01,2005,6,116,1444
2005-07-01,2005,7,3,1607
2005-11-01,2005,11,6,1220
2006-01-01,2006,1,1,1200
2006-06-01,2006,6,205,1396
2006-07-01,2006,7,14,1500
2006-11-01,2006,11,38,1694
2007-06-01,2007,6,5,2000
2007-11-01,2007,11,11,1818
2008-06-01,2008,6,76,2011
2008-07-01,2008,7,2,2400
2008-08-01,2008,8,1,1851
2008-11-01,2008,11,15,1703
2008-12-01,2008,12,3,2100
2009-06-01,2009,6,12,1948
2009-11-01,2009,11,30,1878
2010-01-01,2010,1,26,2182
2010-06-01,2010,6,20,2401
2010-11-01,2010,11,42,2059
2011-01-01,2011,1,4,2204
2011-06-01,2011,6,131,2420
2011-07-01,2011,7,12,2748
2011-08-01,2011,8,2,2769
2012-06-01,2012,6,8,2926
2012-11-01,2012,11,32,4594
2013-06-01,2013,6,37,3419
2013-07-01,2013,7,2,3495
2013-08-01,2013,8,8,3356
2013-11-01,2013,11,23,3239
2013-12-01,2013,12,20,3488
2014-01-01,2014,1,4,2686
2014-06-01,2014,6,26,2969
2014-07-01,2014,7,1,3020
2014-11-01,2014,11,69,1573
2015-01-01,2015,1,8,3629
2015-06-01,2015,6,12,4369
2015-07-01,2015,7,2,3035
2015-08-01,2015,8,22,5773
2015-11-01,2015,11,1,3170
2016-06-01,2016,6,6,4763
2016-11-01,2016,11,3,4592
2016-12-01,2016,12,1,2419
2017-06-01,2017,6,4,4368
2017-07-01,2017,7,1,4207
2017-08-01,2017,8,1,3189
2017-11-01,2017,11,142,3313
2017-12-01,2017,12,26,3426
2018-01-01,2018,1,7,3233
2018-06-01,2018,6,42,2682
2018-07-01,2018,7,12,3291
2018-08-01,2018,8,12,3015
2018-11-01,2018,11,27,3701
2018-12-01,2018,12,4,3330
2019-01-01,2019,1,1,3576
2019-06-01,2019,6,4,4280
2019-11-01,2019,11,85,3976
2019-12-01,2019,12,5,3883
