Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,26,1316
2002-07-01,2002,7,3,1296
2002-08-01,2002,8,1,691
2002-11-01,2002,11,129,1681
2002-12-01,2002,12,193,1678
2003-01-01,2003,1,30,1714
2003-06-01,2003,6,35,1838
2003-11-01,2003,11,34,1684
2003-12-01,2003,12,131,1534
2004-01-01,2004,1,20,1673
2004-06-01,2004,6,92,1522
2004-07-01,2004,7,6,1553
2004-11-01,2004,11,74,1683
2004-12-01,2004,12,146,1632
2005-01-01,2005,1,26,1605
2005-06-01,2005,6,69,1486
2005-07-01,2005,7,2,1464
2005-11-01,2005,11,42,1389
2005-12-01,2005,12,75,1451
2006-01-01,2006,1,103,1501
2006-06-01,2006,6,326,1410
2006-07-01,2006,7,10,1394
2006-11-01,2006,11,136,1967
2006-12-01,2006,12,346,1974
2007-01-01,2007,1,30,2132
2007-06-01,2007,6,2,2314
2007-11-01,2007,11,52,2078
2007-12-01,2007,12,66,2056
2008-01-01,2008,1,28,2280
2008-06-01,2008,6,78,2377
2008-07-01,2008,7,5,2356
2008-11-01,2008,11,29,2273
2008-12-01,2008,12,45,2257
2009-01-01,2009,1,45,2185
2009-11-01,2009,11,365,2523
2009-12-01,2009,12,329,2411
2010-01-01,2010,1,344,2391
2010-11-01,2010,11,1,2889
2010-12-01,2010,12,5,3043
2011-01-01,2011,1,10,2472
2011-06-01,2011,6,249,3761
2011-07-01,2011,7,10,3508
2011-11-01,2011,11,350,3513
2011-12-01,2011,12,456,3364
2012-01-01,2012,1,132,3859
2012-06-01,2012,6,147,3860
2012-11-01,2012,11,245,4996
2012-12-01,2012,12,155,4831
2013-01-01,2013,1,70,4612
2013-06-01,2013,6,14,4159
2014-01-01,2014,1,67,3279
2014-06-01,2014,6,40,3286
2014-07-01,2014,7,27,3100
2014-11-01,2014,11,92,1522
2014-12-01,2014,12,19,3735
2015-01-01,2015,1,109,3674
2015-06-01,2015,6,4,5448
2015-11-01,2015,11,65,3914
2015-12-01,2015,12,71,4025
2016-01-01,2016,1,20,3850
2016-06-01,2016,6,5,4908
2016-11-01,2016,11,135,4461
2016-12-01,2016,12,291,4308
2017-01-01,2017,1,60,4407
2017-06-01,2017,6,19,4604
2017-11-01,2017,11,838,3610
2017-12-01,2017,12,518,3474
2018-01-01,2018,1,316,3353
2018-06-01,2018,6,151,2873
2018-11-01,2018,11,422,4203
2018-12-01,2018,12,497,3718
2019-01-01,2019,1,65,3664
2019-06-01,2019,6,56,5156
2019-11-01,2019,11,642,4257
2019-12-01,2019,12,622,4086
