Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,48,1417
2002-07-01,2002,7,11,1355
2002-11-01,2002,11,85,1567
2002-12-01,2002,12,330,1450
2003-01-01,2003,1,198,1528
2003-06-01,2003,6,103,1650
2003-07-01,2003,7,34,1708
2003-08-01,2003,8,2,1600
2003-11-01,2003,11,101,1642
2003-12-01,2003,12,288,1555
2004-01-01,2004,1,118,1550
2004-06-01,2004,6,195,1600
2004-07-01,2004,7,15,1600
2004-11-01,2004,11,1762,1588
2004-12-01,2004,12,422,1566
2005-01-01,2005,1,63,1548
2005-06-01,2005,6,112,1500
2005-07-01,2005,7,22,1574
2005-08-01,2005,8,3,1559
2005-11-01,2005,11,164,1307
2005-12-01,2005,12,386,1258
2006-01-01,2006,1,382,1206
2006-06-01,2006,6,176,1535
2006-07-01,2006,7,8,1534
2006-08-01,2006,8,1,1520
2006-11-01,2006,11,704,1828
2006-12-01,2006,12,80,1853
2007-01-01,2007,1,2,1939
2007-06-01,2007,6,40,2170
2007-07-01,2007,7,1,2200
2007-11-01,2007,11,3237,1951
2007-12-01,2007,12,741,1984
2008-01-01,2008,1,69,2223
2008-06-01,2008,6,39,2300
2008-07-01,2008,7,15,2577
2008-08-01,2008,8,17,2523
2008-11-01,2008,11,1538,1818
2008-12-01,2008,12,664,1912
2009-01-01,2009,1,32,2006
2009-06-01,2009,6,167,2231
2009-07-01,2009,7,14,2162
2009-08-01,2009,8,7,1850
2009-11-01,2009,11,912,2578
2009-12-01,2009,12,463,2496
2010-01-01,2010,1,19,2382
2010-06-01,2010,6,92,2614
2010-07-01,2010,7,28,2853
2010-08-01,2010,8,1,3000
2010-11-01,2010,11,231,2339
2010-12-01,2010,12,437,2638
2011-01-01,2011,1,38,2599
2011-06-01,2011,6,286,3428
2011-07-01,2011,7,13,3322
2011-08-01,2011,8,31,3504
2011-11-01,2011,11,651,3165
2011-12-01,2011,12,311,3233
2012-01-01,2012,1,95,3398
2012-06-01,2012,6,99,3723
2012-07-01,2012,7,31,3860
2012-11-01,2012,11,320,4382
2012-12-01,2012,12,309,4314
2013-01-01,2013,1,109,4352
2013-06-01,2013,6,53,4022
2013-07-01,2013,7,2,4000
2014-01-01,2014,1,59,3181
2014-06-01,2014,6,91,3539
2014-07-01,2014,7,23,3515
2014-11-01,2014,11,195,1600
2014-12-01,2014,12,411,3499
2015-01-01,2015,1,217,3800
2015-06-01,2015,6,21,5362
2015-07-01,2015,7,4,5020
2015-11-01,2015,11,289,3936
2015-12-01,2015,12,810,3906
2016-01-01,2016,1,44,4361
2016-06-01,2016,6,14,4622
2016-11-01,2016,11,326,4219
2016-12-01,2016,12,61,4267
2017-06-01,2017,6,30,4756
2017-07-01,2017,7,11,3536
2017-11-01,2017,11,751,3661
2017-12-01,2017,12,275,3586
2018-01-01,2018,1,32,3494
2018-06-01,2018,6,134,3448
2018-07-01,2018,7,6,3370
2018-11-01,2018,11,639,4544
2018-12-01,2018,12,338,4185
2019-01-01,2019,1,9,4574
2019-11-01,2019,11,474,4784
2019-12-01,2019,12,597,4516
