Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,13,750
2002-12-01,2002,12,9,1050
2003-01-01,2003,1,1,1100
2004-01-01,2004,1,8,1400
2004-11-01,2004,11,11,1550
2004-12-01,2004,12,12,1575
2005-01-01,2005,1,3,1600
2006-01-01,2006,1,3,1400
2007-11-01,2007,11,11,1600
2007-12-01,2007,12,9,1825
2008-01-01,2008,1,3,1850
2008-12-01,2008,12,5,2000
2009-01-01,2009,1,7,2033
2010-11-01,2010,11,12,2592
2015-01-01,2015,1,100,3370
2015-06-01,2015,6,5,4000
2015-12-01,2015,12,44,4140
2016-01-01,2016,1,5,4200
2016-12-01,2016,12,6,4237
2017-11-01,2017,11,37,3962
2017-12-01,2017,12,14,4375
2018-06-01,2018,6,83,1406
2019-12-01,2019,12,44,4767
