Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,291,1461
2002-07-01,2002,7,38,1502
2002-11-01,2002,11,373,1616
2002-12-01,2002,12,672,1597
2003-01-01,2003,1,72,1728
2003-06-01,2003,6,42,1895
2003-07-01,2003,7,11,2020
2003-11-01,2003,11,163,1683
2003-12-01,2003,12,23,1725
2004-01-01,2004,1,45,1700
2004-06-01,2004,6,11,1726
2004-07-01,2004,7,7,1662
2004-11-01,2004,11,11,1512
2004-12-01,2004,12,68,1585
2005-01-01,2005,1,82,1551
2005-06-01,2005,6,39,1567
2005-07-01,2005,7,27,1690
2005-08-01,2005,8,7,1690
2005-11-01,2005,11,5,1620
2006-01-01,2006,1,66,1600
2006-06-01,2006,6,30,1674
2007-06-01,2007,6,25,2200
2007-11-01,2007,11,71,2073
2007-12-01,2007,12,31,1998
2008-01-01,2008,1,9,1967
2008-06-01,2008,6,22,2462
2008-11-01,2008,11,98,2320
2008-12-01,2008,12,149,2345
2009-01-01,2009,1,70,2196
2009-06-01,2009,6,131,2328
2009-07-01,2009,7,25,2375
2009-08-01,2009,8,1,2046
2010-06-01,2010,6,12,2527
2010-07-01,2010,7,5,3158
2010-08-01,2010,8,1,3406
2011-06-01,2011,6,63,3508
2011-07-01,2011,7,8,3543
2011-08-01,2011,8,1,3501
2011-11-01,2011,11,11,3478
2011-12-01,2011,12,3,3635
2012-06-01,2012,6,6,4100
2012-12-01,2012,12,1,4300
2013-01-01,2013,1,1,3500
2013-06-01,2013,6,29,3960
2013-07-01,2013,7,42,4146
2013-08-01,2013,8,3,3939
2014-06-01,2014,6,35,3040
2014-11-01,2014,11,11,1726
