Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,12,500
2002-11-01,2002,11,204,465
2002-12-01,2002,12,90,474
2003-01-01,2003,1,127,490
2003-07-01,2003,7,83,520
2003-08-01,2003,8,76,525
2003-11-01,2003,11,839,516
2003-12-01,2003,12,87,510
2004-08-01,2004,8,20,525
2004-12-01,2004,12,10,460
2005-01-01,2005,1,6828,525
2006-01-01,2006,1,22826,540
2006-12-01,2006,12,179,632
2007-01-01,2007,1,583,674
2007-06-01,2007,6,625,540
2007-07-01,2007,7,350,710
2007-11-01,2007,11,900,610
2007-12-01,2007,12,377,609
2008-01-01,2008,1,811,645
2008-07-01,2008,7,156,910
2008-08-01,2008,8,14,810
2008-11-01,2008,11,556,688
2008-12-01,2008,12,846,712
2009-01-01,2009,1,2259,755
2009-06-01,2009,6,84,765
2009-11-01,2009,11,5729,716
2009-12-01,2009,12,1554,740
2010-01-01,2010,1,7123,769
2010-06-01,2010,6,1185,760
2010-07-01,2010,7,920,859
2010-08-01,2010,8,1786,812
2010-11-01,2010,11,133,987
2010-12-01,2010,12,217,1000
2011-01-01,2011,1,143,838
2011-06-01,2011,6,2355,946
2011-07-01,2011,7,516,1112
2011-08-01,2011,8,113,983
2011-11-01,2011,11,4243,813
2011-12-01,2011,12,5500,1060
2012-01-01,2012,1,1822,997
2012-06-01,2012,6,916,1261
2012-07-01,2012,7,723,1303
2012-08-01,2012,8,83,1350
2012-11-01,2012,11,50,1360
2012-12-01,2012,12,60,1200
2013-01-01,2013,1,1240,1255
2013-07-01,2013,7,155,1475
2014-06-01,2014,6,235,1278
2014-07-01,2014,7,818,1052
2015-01-01,2015,1,854,1090
2015-07-01,2015,7,33,1350
2015-08-01,2015,8,89,1350
2016-06-01,2016,6,79,1650
2016-07-01,2016,7,312,1412
2016-08-01,2016,8,238,1525
2016-12-01,2016,12,2110,1392
2017-01-01,2017,1,403,1338
2017-06-01,2017,6,541,1500
2017-07-01,2017,7,704,1518
2017-08-01,2017,8,6,1550
2017-11-01,2017,11,1594,1384
2017-12-01,2017,12,3011,1302
2018-01-01,2018,1,696,1158
2018-06-01,2018,6,591,1439
2018-07-01,2018,7,703,1504
2018-08-01,2018,8,267,1299
2018-11-01,2018,11,1069,1995
2018-12-01,2018,12,2606,1867
2019-01-01,2019,1,4702,1931
2019-06-01,2019,6,241,2470
2019-08-01,2019,8,908,2257
2019-11-01,2019,11,328,1824
2019-12-01,2019,12,134,1650
