Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,130,488
2002-07-01,2002,7,273,489
2002-08-01,2002,8,101,532
2002-11-01,2002,11,482,476
2002-12-01,2002,12,479,498
2003-01-01,2003,1,526,494
2003-06-01,2003,6,37,501
2003-07-01,2003,7,90,548
2003-08-01,2003,8,276,537
2003-11-01,2003,11,46,503
2003-12-01,2003,12,3,505
2004-08-01,2004,8,30,500
2004-11-01,2004,11,19,450
2004-12-01,2004,12,43,430
2005-01-01,2005,1,14,460
2005-06-01,2005,6,93,509
2005-07-01,2005,7,6,515
2005-08-01,2005,8,10,550
2005-11-01,2005,11,450,508
2005-12-01,2005,12,272,486
2006-01-01,2006,1,330,496
2006-06-01,2006,6,31,500
2006-07-01,2006,7,101,502
2006-08-01,2006,8,82,519
2006-12-01,2006,12,51,622
2007-01-01,2007,1,147,625
2007-06-01,2007,6,5,700
2007-07-01,2007,7,29,666
2007-08-01,2007,8,205,619
2007-11-01,2007,11,83,536
2007-12-01,2007,12,526,566
2008-01-01,2008,1,367,589
2008-06-01,2008,6,177,720
2008-07-01,2008,7,175,809
2008-08-01,2008,8,328,857
2008-11-01,2008,11,1075,764
2008-12-01,2008,12,536,758
2009-01-01,2009,1,200,724
2009-06-01,2009,6,40,736
2009-07-01,2009,7,9,750
2009-08-01,2009,8,7,822
2009-11-01,2009,11,1481,774
2009-12-01,2009,12,1504,788
2010-01-01,2010,1,1671,782
2010-06-01,2010,6,39,792
2010-07-01,2010,7,686,846
2010-08-01,2010,8,480,888
2010-11-01,2010,11,364,900
2010-12-01,2010,12,4537,884
2011-01-01,2011,1,1608,884
2011-06-01,2011,6,74,1020
2011-07-01,2011,7,686,1072
2011-08-01,2011,8,481,1155
2011-11-01,2011,11,6523,993
2011-12-01,2011,12,5474,1012
2012-01-01,2012,1,853,1118
2012-06-01,2012,6,51,1060
2012-07-01,2012,7,424,1264
2012-08-01,2012,8,355,1294
2012-11-01,2012,11,1072,1224
2012-12-01,2012,12,3473,1300
2013-01-01,2013,1,4348,1310
2013-06-01,2013,6,317,1444
2013-07-01,2013,7,398,1331
2013-08-01,2013,8,180,1375
2013-11-01,2013,11,1427,1207
2013-12-01,2013,12,1867,1115
2014-01-01,2014,1,3423,1139
2014-06-01,2014,6,417,1250
2014-07-01,2014,7,78,1200
2014-11-01,2014,11,2067,1096
2014-12-01,2014,12,3342,1099
2015-01-01,2015,1,28573,1139
2015-06-01,2015,6,341,1321
2015-07-01,2015,7,453,1417
2015-08-01,2015,8,1,1252
2015-11-01,2015,11,816,1389
2015-12-01,2015,12,1671,1444
2016-01-01,2016,1,177,1412
2016-06-01,2016,6,307,1508
2016-07-01,2016,7,685,1615
2016-08-01,2016,8,148,1508
2016-11-01,2016,11,1765,1342
2016-12-01,2016,12,3152,1393
2017-01-01,2017,1,4307,1397
2017-06-01,2017,6,327,1458
2017-07-01,2017,7,192,1560
2017-08-01,2017,8,65,1560
2017-11-01,2017,11,2401,1168
2017-12-01,2017,12,2071,1161
2018-01-01,2018,1,3209,1150
2018-06-01,2018,6,73,1212
2018-07-01,2018,7,16,1300
2018-11-01,2018,11,925,1390
2018-12-01,2018,12,1104,1534
2019-01-01,2019,1,1227,1716
2019-06-01,2019,6,79,2095
2019-11-01,2019,11,582,1701
2019-12-01,2019,12,2691,1731
