Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,8,523
2002-11-01,2002,11,217,529
2002-12-01,2002,12,981,503
2003-01-01,2003,1,423,510
2003-06-01,2003,6,2,590
2003-11-01,2003,11,522,467
2003-12-01,2003,12,245,485
2004-01-01,2004,1,64,513
2004-11-01,2004,11,1785,440
2004-12-01,2004,12,720,454
2005-01-01,2005,1,398,449
2005-11-01,2005,11,2331,461
2005-12-01,2005,12,3516,454
2006-01-01,2006,1,1049,488
2006-11-01,2006,11,3717,629
2006-12-01,2006,12,3393,638
2007-01-01,2007,1,1829,681
2007-06-01,2007,6,38,682
2007-07-01,2007,7,12,704
2007-08-01,2007,8,8,642
2007-11-01,2007,11,8792,568
2007-12-01,2007,12,5545,588
2008-01-01,2008,1,1826,663
2008-06-01,2008,6,13,826
2008-07-01,2008,7,1,880
2008-08-01,2008,8,1,601
2008-11-01,2008,11,6271,770
2008-12-01,2008,12,4580,752
2009-01-01,2009,1,3334,764
2009-06-01,2009,6,129,815
2009-07-01,2009,7,57,820
2009-08-01,2009,8,34,817
2009-11-01,2009,11,8405,806
2009-12-01,2009,12,11002,817
2010-01-01,2010,1,6728,805
2010-06-01,2010,6,64,869
2010-07-01,2010,7,26,934
2010-08-01,2010,8,6,877
2010-11-01,2010,11,1149,887
2010-12-01,2010,12,5371,880
2011-01-01,2011,1,612,904
2011-07-01,2011,7,3,1069
2011-11-01,2011,11,5077,1009
2011-12-01,2011,12,3148,1019
2012-01-01,2012,1,806,1105
2012-06-01,2012,6,45,1092
2012-07-01,2012,7,1,1303
2012-11-01,2012,11,2433,1309
2012-12-01,2012,12,7245,1324
2013-01-01,2013,1,3410,1341
2013-06-01,2013,6,122,1428
2013-07-01,2013,7,28,1482
2013-08-01,2013,8,26,1500
2013-11-01,2013,11,5412,1157
2013-12-01,2013,12,5944,1086
2014-01-01,2014,1,3786,1117
2014-06-01,2014,6,32,1227
2014-07-01,2014,7,9,1321
2014-08-01,2014,8,8,1320
2014-11-01,2014,11,3706,1096
2014-12-01,2014,12,3264,1082
2015-01-01,2015,1,29614,1143
2015-06-01,2015,6,833,1300
2015-07-01,2015,7,1311,1434
2015-08-01,2015,8,194,1325
2015-11-01,2015,11,5333,1427
2015-12-01,2015,12,3849,1431
2016-01-01,2016,1,1403,1403
2016-06-01,2016,6,317,1476
2016-07-01,2016,7,498,1770
2016-08-01,2016,8,50,3090
2016-11-01,2016,11,2386,1380
2016-12-01,2016,12,1268,1357
2017-01-01,2017,1,623,1409
2017-06-01,2017,6,110,1518
2017-07-01,2017,7,56,1559
2017-08-01,2017,8,12,1458
2017-11-01,2017,11,1654,1154
2017-12-01,2017,12,1173,1209
2018-01-01,2018,1,698,1118
2018-06-01,2018,6,365,1273
2018-07-01,2018,7,78,1294
2018-08-01,2018,8,65,1536
2018-11-01,2018,11,1102,1476
2018-12-01,2018,12,906,1642
2019-01-01,2019,1,410,1785
2019-06-01,2019,6,19,2145
2019-07-01,2019,7,3,2330
2019-08-01,2019,8,3,2152
2019-11-01,2019,11,1402,1725
2019-12-01,2019,12,2282,1909
