Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,540,488
2002-06-01,2002,6,6253,580
2002-07-01,2002,7,4923,609
2002-08-01,2002,8,3608,658
2002-11-01,2002,11,13234,509
2002-12-01,2002,12,9300,543
2003-01-01,2003,1,7791,544
2003-06-01,2003,6,4306,613
2003-07-01,2003,7,5060,625
2003-08-01,2003,8,2275,606
2003-11-01,2003,11,10403,515
2003-12-01,2003,12,5514,515
2004-01-01,2004,1,6693,533
2004-06-01,2004,6,664,634
2004-07-01,2004,7,515,640
2004-08-01,2004,8,1248,711
2004-11-01,2004,11,4885,518
2004-12-01,2004,12,4900,503
2005-01-01,2005,1,2658,518
2005-06-01,2005,6,702,565
2005-07-01,2005,7,460,570
2005-08-01,2005,8,559,570
2005-11-01,2005,11,1134,547
2005-12-01,2005,12,1391,540
2006-01-01,2006,1,1913,525
2006-06-01,2006,6,554,672
2006-07-01,2006,7,800,689
2006-08-01,2006,8,381,794
2006-11-01,2006,11,996,740
2006-12-01,2006,12,743,744
2007-01-01,2007,1,647,744
2007-06-01,2007,6,879,825
2007-07-01,2007,7,715,824
2007-08-01,2007,8,533,825
2007-11-01,2007,11,1218,655
2007-12-01,2007,12,1182,660
2008-01-01,2008,1,811,712
2008-06-01,2008,6,500,847
2008-07-01,2008,7,593,956
2008-08-01,2008,8,299,1086
2008-11-01,2008,11,575,900
2008-12-01,2008,12,336,929
2009-01-01,2009,1,268,839
2009-06-01,2009,6,274,931
2009-07-01,2009,7,225,906
2009-08-01,2009,8,213,978
2009-11-01,2009,11,609,875
2009-12-01,2009,12,709,878
2010-01-01,2010,1,911,908
2010-06-01,2010,6,597,935
2010-07-01,2010,7,566,986
2010-08-01,2010,8,685,1018
2010-11-01,2010,11,362,941
2010-12-01,2010,12,1396,924
2011-01-01,2011,1,1062,945
2011-06-01,2011,6,560,1141
2011-07-01,2011,7,806,1177
2011-08-01,2011,8,615,1188
2011-11-01,2011,11,1001,1076
2011-12-01,2011,12,975,1083
2012-01-01,2012,1,790,1137
2012-06-01,2012,6,465,1123
2012-07-01,2012,7,403,1265
2012-08-01,2012,8,399,1320
2012-11-01,2012,11,612,1385
2012-12-01,2012,12,807,1404
2013-01-01,2013,1,807,1425
2013-06-01,2013,6,573,1414
2013-07-01,2013,7,382,1495
2013-08-01,2013,8,150,1484
2014-01-01,2014,1,1597,1162
2014-06-01,2014,6,596,1242
2014-07-01,2014,7,615,1394
2014-08-01,2014,8,874,1442
2014-11-01,2014,11,986,1257
2014-12-01,2014,12,1118,1274
2015-01-01,2015,1,8487,1236
2015-06-01,2015,6,418,1515
2015-07-01,2015,7,345,1501
2015-08-01,2015,8,536,1542
2015-11-01,2015,11,1105,1525
2015-12-01,2015,12,1178,1525
2016-01-01,2016,1,726,1525
2016-06-01,2016,6,699,1826
2016-07-01,2016,7,625,1946
2016-08-01,2016,8,803,2025
2016-11-01,2016,11,947,2148
2016-12-01,2016,12,1527,1826
2017-01-01,2017,1,1070,1610
2017-06-01,2017,6,812,1700
2017-07-01,2017,7,755,1835
2017-08-01,2017,8,694,1871
2017-11-01,2017,11,1537,1487
2017-12-01,2017,12,1491,1389
2018-01-01,2018,1,1260,1700
2018-06-01,2018,6,627,1750
2018-07-01,2018,7,748,1750
2018-08-01,2018,8,916,1770
2018-11-01,2018,11,1790,1753
2018-12-01,2018,12,1333,1775
2019-01-01,2019,1,1096,1817
2019-06-01,2019,6,512,2600
2019-07-01,2019,7,524,2636
2019-08-01,2019,8,1138,2650
2019-11-01,2019,11,1127,4300
2019-12-01,2019,12,1197,3891
