Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-12-01,2002,12,11,500
2005-01-01,2005,1,20,400
2007-01-01,2007,1,15,600
2008-07-01,2008,7,20,600
2010-12-01,2010,12,90,1000
2011-01-01,2011,1,102,1533
2012-07-01,2012,7,21,1100
2014-07-01,2014,7,61,1340
2014-08-01,2014,8,17,1340
2014-11-01,2014,11,32,1350
2014-12-01,2014,12,14,1350
2015-06-01,2015,6,351,1217
2015-07-01,2015,7,228,1333
2015-08-01,2015,8,70,1500
2015-11-01,2015,11,356,1410
2015-12-01,2015,12,254,1468
2016-01-01,2016,1,465,1700
2016-06-01,2016,6,237,1556
2016-07-01,2016,7,18,1600
2016-08-01,2016,8,17,1550
2016-11-01,2016,11,67,1550
2016-12-01,2016,12,79,1527
2017-06-01,2017,6,130,1588
2017-07-01,2017,7,124,1485
2017-08-01,2017,8,99,1567
2017-11-01,2017,11,9,1500
2017-12-01,2017,12,80,1475
2018-01-01,2018,1,21,1480
2019-01-01,2019,1,23,1850
2019-06-01,2019,6,131,2400
2019-07-01,2019,7,19,2500
2019-11-01,2019,11,9,2350
2019-12-01,2019,12,85,2850
