Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,122,525
2002-08-01,2002,8,214,620
2002-11-01,2002,11,312,485
2002-12-01,2002,12,62,467
2003-01-01,2003,1,63,498
2003-06-01,2003,6,86,572
2003-07-01,2003,7,305,584
2003-08-01,2003,8,121,579
2003-11-01,2003,11,19,495
2003-12-01,2003,12,81,503
2004-01-01,2004,1,33,510
2004-06-01,2004,6,145,505
2004-08-01,2004,8,1,500
2004-11-01,2004,11,50,506
2004-12-01,2004,12,14,492
2005-01-01,2005,1,21,475
2005-11-01,2005,11,62,518
2005-12-01,2005,12,48,540
2006-01-01,2006,1,113,528
2006-06-01,2006,6,118,553
2006-12-01,2006,12,15,650
2007-01-01,2007,1,41,650
2007-06-01,2007,6,62,677
2007-07-01,2007,7,58,658
2007-08-01,2007,8,94,768
2007-11-01,2007,11,293,643
2007-12-01,2007,12,812,640
2008-01-01,2008,1,258,646
2008-06-01,2008,6,12,750
2008-08-01,2008,8,11,950
2008-11-01,2008,11,298,844
2008-12-01,2008,12,346,825
2009-01-01,2009,1,226,813
2009-06-01,2009,6,107,840
2009-07-01,2009,7,17231,840
2009-11-01,2009,11,474,803
2009-12-01,2009,12,1129,834
2010-01-01,2010,1,2388,844
2010-06-01,2010,6,624,987
2010-07-01,2010,7,196,977
2010-08-01,2010,8,31,1000
2010-11-01,2010,11,540,851
2010-12-01,2010,12,2058,896
2011-01-01,2011,1,3678,913
2011-06-01,2011,6,69,1236
2011-07-01,2011,7,138,1252
2011-08-01,2011,8,123,935
2011-11-01,2011,11,1333,1012
2011-12-01,2011,12,3581,1080
2012-01-01,2012,1,3768,1118
2012-06-01,2012,6,408,1096
2012-07-01,2012,7,121,1200
2012-08-01,2012,8,231,1275
2012-11-01,2012,11,218,1355
2012-12-01,2012,12,1563,1427
2013-01-01,2013,1,775,1461
2013-06-01,2013,6,385,1391
2013-07-01,2013,7,464,1459
2013-08-01,2013,8,137,1434
2014-01-01,2014,1,127,1308
2014-06-01,2014,6,785,1417
2014-07-01,2014,7,438,1421
2014-08-01,2014,8,654,1359
2014-11-01,2014,11,1024,2106
2014-12-01,2014,12,1166,1126
2015-01-01,2015,1,34770,1147
2015-06-01,2015,6,852,1405
2015-07-01,2015,7,610,1465
2015-08-01,2015,8,139,1460
2015-11-01,2015,11,878,1478
2015-12-01,2015,12,3958,1495
2016-01-01,2016,1,2186,1477
2016-06-01,2016,6,761,1492
2016-07-01,2016,7,361,1690
2016-08-01,2016,8,210,1787
2016-11-01,2016,11,1132,1377
2016-12-01,2016,12,2736,1459
2017-01-01,2017,1,2110,1466
2017-06-01,2017,6,1339,1561
2017-07-01,2017,7,800,1644
2017-08-01,2017,8,620,1713
2017-11-01,2017,11,879,1242
2017-12-01,2017,12,1946,1231
2018-01-01,2018,1,3259,1214
2018-06-01,2018,6,888,1346
2018-07-01,2018,7,788,1265
2018-08-01,2018,8,54,1420
2018-11-01,2018,11,1143,1395
2018-12-01,2018,12,2121,1538
2019-01-01,2019,1,2621,1724
2019-06-01,2019,6,16,1800
2019-08-01,2019,8,1,1818
2019-11-01,2019,11,992,1655
2019-12-01,2019,12,2127,1791
