Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-11-01,2008,11,16,768
2009-07-01,2009,7,1,745
2009-12-01,2009,12,1,806
2010-01-01,2010,1,1,850
2010-06-01,2010,6,1,936
2010-12-01,2010,12,5,815
2011-11-01,2011,11,57,935
2011-12-01,2011,12,3,983
2012-11-01,2012,11,25,1175
2014-01-01,2014,1,26,1124
2014-06-01,2014,6,24,1122
2014-07-01,2014,7,1,1180
2015-11-01,2015,11,3,1505
2015-12-01,2015,12,3,1553
2016-11-01,2016,11,86,1264
2016-12-01,2016,12,78,1296
2017-11-01,2017,11,308,1063
2017-12-01,2017,12,36,1162
2018-01-01,2018,1,3,1225
2018-11-01,2018,11,273,1426
2018-12-01,2018,12,61,1603
2019-11-01,2019,11,47,1475
2019-12-01,2019,12,265,1852
