Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,128,522
2002-07-01,2002,7,156,540
2002-08-01,2002,8,62,566
2002-11-01,2002,11,480,496
2002-12-01,2002,12,606,498
2003-01-01,2003,1,367,501
2003-06-01,2003,6,151,543
2003-07-01,2003,7,28,592
2003-08-01,2003,8,83,566
2003-11-01,2003,11,146,460
2003-12-01,2003,12,142,458
2004-01-01,2004,1,208,487
2004-06-01,2004,6,69,551
2004-07-01,2004,7,42,554
2004-08-01,2004,8,17,559
2004-11-01,2004,11,878,429
2004-12-01,2004,12,1358,444
2005-01-01,2005,1,796,436
2005-06-01,2005,6,374,478
2005-07-01,2005,7,78,528
2005-08-01,2005,8,16,560
2005-11-01,2005,11,1540,480
2005-12-01,2005,12,1248,475
2006-01-01,2006,1,1067,494
2006-06-01,2006,6,260,545
2006-07-01,2006,7,141,564
2006-08-01,2006,8,81,636
2006-11-01,2006,11,1123,602
2006-12-01,2006,12,1496,627
2007-01-01,2007,1,310,660
2007-06-01,2007,6,452,701
2007-07-01,2007,7,426,725
2007-08-01,2007,8,395,675
2007-11-01,2007,11,4565,574
2007-12-01,2007,12,2619,590
2008-01-01,2008,1,681,654
2008-06-01,2008,6,436,795
2008-07-01,2008,7,256,906
2008-08-01,2008,8,84,913
2008-11-01,2008,11,847,767
2008-12-01,2008,12,543,730
2009-01-01,2009,1,426,741
2009-06-01,2009,6,574,792
2009-07-01,2009,7,171,842
2009-11-01,2009,11,2436,755
2009-12-01,2009,12,4599,817
2010-01-01,2010,1,3730,843
2010-06-01,2010,6,277,912
2010-07-01,2010,7,29,925
2010-08-01,2010,8,5,1016
2010-11-01,2010,11,780,831
2010-12-01,2010,12,898,841
2011-01-01,2011,1,277,894
2011-06-01,2011,6,307,1095
2011-07-01,2011,7,66,1114
2011-08-01,2011,8,63,1118
2011-11-01,2011,11,555,959
2011-12-01,2011,12,456,984
2012-01-01,2012,1,255,1080
2012-06-01,2012,6,213,1101
2012-07-01,2012,7,39,1195
2012-08-01,2012,8,61,1314
2012-11-01,2012,11,717,1193
2012-12-01,2012,12,1224,1253
2013-01-01,2013,1,994,1283
2013-06-01,2013,6,159,1330
2013-07-01,2013,7,37,1460
2013-08-01,2013,8,16,1438
2014-01-01,2014,1,1178,1043
2014-06-01,2014,6,107,1162
2014-07-01,2014,7,33,1300
2014-08-01,2014,8,31,1325
2014-11-01,2014,11,680,1078
2014-12-01,2014,12,785,1027
2015-01-01,2015,1,3381,1069
2015-06-01,2015,6,52,1178
2015-07-01,2015,7,25,1350
2015-08-01,2015,8,2,1425
2015-11-01,2015,11,147,1372
2015-12-01,2015,12,339,1428
2016-01-01,2016,1,224,1414
2016-06-01,2016,6,1879,1409
2016-11-01,2016,11,578,1343
2016-12-01,2016,12,381,1371
2017-01-01,2017,1,99,1316
2017-06-01,2017,6,49,1425
2017-07-01,2017,7,27,1473
2017-11-01,2017,11,551,1081
2017-12-01,2017,12,506,1113
2018-01-01,2018,1,351,1126
2018-06-01,2018,6,49,1171
2018-07-01,2018,7,10,1263
2018-08-01,2018,8,39,1350
2018-11-01,2018,11,126,1401
2018-12-01,2018,12,127,1528
2019-01-01,2019,1,60,1715
2019-06-01,2019,6,1,2000
2019-11-01,2019,11,536,1641
2019-12-01,2019,12,516,1807
