Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-07-01,2011,7,98,1036
2011-08-01,2011,8,30,1000
2011-11-01,2011,11,338,993
2011-12-01,2011,12,796,995
2012-01-01,2012,1,247,1040
2012-06-01,2012,6,27,1020
2012-07-01,2012,7,55,1100
2012-11-01,2012,11,113,1250
2012-12-01,2012,12,548,1268
2013-06-01,2013,6,81,1222
2013-07-01,2013,7,32,1212
2014-06-01,2014,6,50,1200
2015-01-01,2015,1,9976,1145
2015-06-01,2015,6,55,1198
2015-07-01,2015,7,101,1206
2015-08-01,2015,8,22,1250
2015-11-01,2015,11,177,1322
2015-12-01,2015,12,298,1394
2016-01-01,2016,1,141,1411
