Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,75,492
2002-07-01,2002,7,50,492
2002-11-01,2002,11,10,491
2002-12-01,2002,12,16,492
2003-06-01,2003,6,237,529
2003-07-01,2003,7,433,533
2003-08-01,2003,8,299,540
2003-12-01,2003,12,66,502
2004-01-01,2004,1,75,513
2004-06-01,2004,6,272,543
2005-06-01,2005,6,727,506
2005-07-01,2005,7,159,526
2005-11-01,2005,11,22,505
2005-12-01,2005,12,26,505
2006-01-01,2006,1,138,500
2006-06-01,2006,6,673,526
2006-07-01,2006,7,245,521
2006-08-01,2006,8,16,520
2006-11-01,2006,11,95,536
2006-12-01,2006,12,163,623
2007-01-01,2007,1,379,641
2007-06-01,2007,6,623,735
2007-07-01,2007,7,892,739
2007-08-01,2007,8,613,728
2007-11-01,2007,11,331,590
2007-12-01,2007,12,264,610
2008-01-01,2008,1,690,621
2008-06-01,2008,6,1213,804
2008-07-01,2008,7,303,833
2008-08-01,2008,8,369,841
2008-11-01,2008,11,372,776
2008-12-01,2008,12,220,768
2009-01-01,2009,1,278,789
2009-06-01,2009,6,2065,815
2009-07-01,2009,7,1087,853
2009-11-01,2009,11,466,799
2009-12-01,2009,12,823,801
2010-01-01,2010,1,479,806
2010-06-01,2010,6,1604,936
2010-07-01,2010,7,422,1013
2010-08-01,2010,8,993,1023
2010-11-01,2010,11,570,884
2010-12-01,2010,12,1674,883
2011-01-01,2011,1,998,904
2011-06-01,2011,6,711,1124
2011-07-01,2011,7,1722,1086
2011-08-01,2011,8,1414,1089
2011-11-01,2011,11,1269,1129
2011-12-01,2011,12,576,944
2012-01-01,2012,1,1275,1289
2012-06-01,2012,6,275,1083
2012-07-01,2012,7,203,1802
2012-08-01,2012,8,37,1309
2012-11-01,2012,11,255,1236
2012-12-01,2012,12,647,1262
2013-01-01,2013,1,212,1220
2013-06-01,2013,6,95,1346
2013-07-01,2013,7,64,1242
2013-08-01,2013,8,82,1350
2014-01-01,2014,1,125,1110
2014-06-01,2014,6,185,1261
2014-08-01,2014,8,36,1248
2014-11-01,2014,11,1828,1054
2014-12-01,2014,12,1107,1358
2015-01-01,2015,1,19397,1092
2015-06-01,2015,6,1350,1343
2015-07-01,2015,7,1297,1313
2015-08-01,2015,8,1130,1399
2015-11-01,2015,11,731,1400
2015-12-01,2015,12,1252,1370
2016-01-01,2016,1,489,1341
2016-06-01,2016,6,123,1632
2016-07-01,2016,7,82,1835
2016-08-01,2016,8,314,1730
2016-11-01,2016,11,584,1450
2016-12-01,2016,12,1016,1400
2017-01-01,2017,1,620,1488
2017-06-01,2017,6,40,1549
2017-11-01,2017,11,917,1161
2017-12-01,2017,12,770,1230
2018-01-01,2018,1,934,1134
2018-06-01,2018,6,83,1262
2018-07-01,2018,7,226,1286
2018-08-01,2018,8,122,1412
2018-11-01,2018,11,635,1482
2018-12-01,2018,12,377,1679
2019-01-01,2019,1,311,1818
2019-06-01,2019,6,55,2293
2019-08-01,2019,8,8,2525
2019-11-01,2019,11,1027,1954
2019-12-01,2019,12,848,1868
