Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,4,500
2002-07-01,2002,7,4,500
2002-08-01,2002,8,3,665
2002-12-01,2002,12,7,500
2003-07-01,2003,7,13,531
2003-08-01,2003,8,33,533
2004-08-01,2004,8,10,525
2004-11-01,2004,11,38,520
2004-12-01,2004,12,143,511
2005-01-01,2005,1,44,524
2005-07-01,2005,7,20,525
2006-01-01,2006,1,10,496
2006-07-01,2006,7,10,500
2006-08-01,2006,8,26,530
2006-11-01,2006,11,9,540
2007-01-01,2007,1,33,610
2007-07-01,2007,7,12,765
2007-12-01,2007,12,9,650
2008-01-01,2008,1,12,612
2008-06-01,2008,6,20,625
2008-07-01,2008,7,18,650
2008-08-01,2008,8,9,630
2008-11-01,2008,11,1,630
2009-01-01,2009,1,12,850
2009-06-01,2009,6,37,847
2009-07-01,2009,7,22,850
2009-12-01,2009,12,6,900
2010-01-01,2010,1,9,800
2010-06-01,2010,6,2,900
2010-12-01,2010,12,44,918
2011-01-01,2011,1,10,960
2011-07-01,2011,7,9,1050
2011-08-01,2011,8,10,850
2011-11-01,2011,11,150,879
2011-12-01,2011,12,553,828
2012-01-01,2012,1,374,766
2012-06-01,2012,6,479,902
2012-07-01,2012,7,229,1061
2012-08-01,2012,8,58,980
2012-11-01,2012,11,223,1024
2012-12-01,2012,12,534,1010
2013-01-01,2013,1,470,1023
2013-06-01,2013,6,9,1000
2013-07-01,2013,7,108,989
2013-08-01,2013,8,9,1000
2014-01-01,2014,1,546,983
2014-06-01,2014,6,87,1040
2014-07-01,2014,7,59,1017
2014-08-01,2014,8,84,1000
2014-11-01,2014,11,417,988
2014-12-01,2014,12,565,994
2015-01-01,2015,1,2642,1015
2015-06-01,2015,6,18,1000
2015-07-01,2015,7,52,1225
2015-08-01,2015,8,29,1133
2015-11-01,2015,11,1426,1117
2015-12-01,2015,12,178,1314
2016-01-01,2016,1,72,1315
2016-06-01,2016,6,71,1225
2016-07-01,2016,7,35,1328
2016-08-01,2016,8,10,1200
2016-11-01,2016,11,39,1223
2016-12-01,2016,12,40,1235
2017-01-01,2017,1,10,1320
2017-06-01,2017,6,68,1405
2017-07-01,2017,7,51,1380
2017-08-01,2017,8,65,1104
2017-11-01,2017,11,290,1064
2017-12-01,2017,12,450,1095
2018-01-01,2018,1,256,1090
2018-06-01,2018,6,181,1171
2018-07-01,2018,7,86,1140
2018-08-01,2018,8,65,1150
2018-12-01,2018,12,20,1200
2019-01-01,2019,1,50,1250
2019-11-01,2019,11,143,1650
2019-12-01,2019,12,161,1371
