Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-11-01,2007,11,274,618
2007-12-01,2007,12,1630,605
2008-01-01,2008,1,3123,641
2008-06-01,2008,6,23,638
2008-11-01,2008,11,110,716
2008-12-01,2008,12,441,786
2009-01-01,2009,1,273,787
2009-06-01,2009,6,120,856
2009-11-01,2009,11,136,770
2009-12-01,2009,12,1263,822
2010-01-01,2010,1,4477,834
2010-06-01,2010,6,10,800
2010-11-01,2010,11,70,855
2010-12-01,2010,12,1725,880
2011-01-01,2011,1,5958,894
2011-06-01,2011,6,80,950
2011-11-01,2011,11,455,1013
2011-12-01,2011,12,1785,1031
2012-01-01,2012,1,2504,1086
2012-06-01,2012,6,108,1123
2012-07-01,2012,7,16,1150
2012-08-01,2012,8,17,950
2012-11-01,2012,11,30,2313
2012-12-01,2012,12,555,1325
2013-01-01,2013,1,3940,1334
2013-06-01,2013,6,20,1850
2013-07-01,2013,7,15,1610
2014-01-01,2014,1,2066,1310
2014-06-01,2014,6,348,1310
2014-11-01,2014,11,526,1238
2014-12-01,2014,12,1113,1215
2015-01-01,2015,1,33248,1134
2015-06-01,2015,6,95,1450
2015-07-01,2015,7,336,1450
2015-08-01,2015,8,8,1400
2015-11-01,2015,11,257,1575
2015-12-01,2015,12,8424,1382
2016-01-01,2016,1,1833,1334
2016-08-01,2016,8,142,1925
2016-11-01,2016,11,265,1800
2016-12-01,2016,12,916,1388
2017-01-01,2017,1,601,1374
2017-11-01,2017,11,34,2500
2018-11-01,2018,11,75,2625
2018-12-01,2018,12,494,1583
2019-01-01,2019,1,160,1700
2019-11-01,2019,11,200,2913
2019-12-01,2019,12,863,2583
