Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-08-01,2004,8,1,500
2004-11-01,2004,11,7,440
2004-12-01,2004,12,5,423
2005-01-01,2005,1,5,417
2005-08-01,2005,8,1,500
2005-11-01,2005,11,3,450
2006-01-01,2006,1,31,410
2007-11-01,2007,11,54,520
2007-12-01,2007,12,66,585
2008-01-01,2008,1,19,586
2008-07-01,2008,7,2,700
2008-08-01,2008,8,1,700
2008-11-01,2008,11,347,713
2008-12-01,2008,12,26,725
2009-01-01,2009,1,247,787
2009-06-01,2009,6,6,810
2009-07-01,2009,7,59,841
2009-11-01,2009,11,376,828
2009-12-01,2009,12,458,879
2010-01-01,2010,1,384,871
2010-06-01,2010,6,7,860
2010-11-01,2010,11,25,800
2010-12-01,2010,12,32,800
2011-01-01,2011,1,67,870
2011-07-01,2011,7,1,1000
2011-08-01,2011,8,2,1000
2011-11-01,2011,11,245,1130
2011-12-01,2011,12,240,1170
2012-01-01,2012,1,589,1154
2012-06-01,2012,6,8,900
2012-07-01,2012,7,1,1000
2012-08-01,2012,8,26,1238
2012-11-01,2012,11,18,1025
2012-12-01,2012,12,193,1255
2013-01-01,2013,1,636,1471
2013-06-01,2013,6,8,1200
2013-07-01,2013,7,2,1400
2014-01-01,2014,1,1922,1238
2014-11-01,2014,11,1368,1185
2014-12-01,2014,12,1412,1192
2015-01-01,2015,1,22701,1216
2015-06-01,2015,6,10,1400
2015-11-01,2015,11,574,1506
2015-12-01,2015,12,1519,1501
2016-01-01,2016,1,1256,1471
2016-11-01,2016,11,158,1472
2016-12-01,2016,12,248,1396
2017-01-01,2017,1,197,1402
2017-06-01,2017,6,2,1500
2017-07-01,2017,7,7,1300
2017-11-01,2017,11,77,1033
2017-12-01,2017,12,57,1239
2018-01-01,2018,1,149,1099
2018-12-01,2018,12,21,1417
2019-01-01,2019,1,100,1500
2019-06-01,2019,6,28,2000
2019-07-01,2019,7,14,2300
2019-11-01,2019,11,37,1933
2019-12-01,2019,12,77,1783
