Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,10,450
2002-11-01,2002,11,30,467
2002-12-01,2002,12,76,474
2003-01-01,2003,1,40,517
2003-06-01,2003,6,10,550
2003-07-01,2003,7,45,580
2003-08-01,2003,8,62,530
2003-11-01,2003,11,166,516
2003-12-01,2003,12,214,518
2004-01-01,2004,1,233,510
2004-08-01,2004,8,27,520
2004-11-01,2004,11,23,525
2004-12-01,2004,12,143,525
2005-01-01,2005,1,20,588
2005-07-01,2005,7,15,525
2005-08-01,2005,8,26,550
2005-11-01,2005,11,12,540
2005-12-01,2005,12,37,580
2006-01-01,2006,1,13,540
2006-06-01,2006,6,18,575
2006-11-01,2006,11,4,800
2006-12-01,2006,12,229,829
2007-01-01,2007,1,149,787
2007-06-01,2007,6,128,986
2007-07-01,2007,7,119,976
2007-08-01,2007,8,291,1049
2007-11-01,2007,11,27,855
2007-12-01,2007,12,286,785
2008-01-01,2008,1,483,699
2008-06-01,2008,6,59,850
2008-07-01,2008,7,284,994
2008-08-01,2008,8,126,1104
2008-11-01,2008,11,86,970
2008-12-01,2008,12,70,1400
2009-01-01,2009,1,23,840
2009-06-01,2009,6,121,1648
2009-07-01,2009,7,94,1464
2009-08-01,2009,8,163,985
2009-11-01,2009,11,467,1388
2009-12-01,2009,12,75,1062
2010-01-01,2010,1,155,1206
2010-06-01,2010,6,28,1000
2010-07-01,2010,7,157,1025
2010-08-01,2010,8,24,1750
2010-11-01,2010,11,17,1410
2010-12-01,2010,12,65,1046
2011-01-01,2011,1,21,940
2011-06-01,2011,6,47,1092
2011-07-01,2011,7,46,1100
2011-08-01,2011,8,125,1310
2011-11-01,2011,11,7,1200
2011-12-01,2011,12,291,1593
2012-01-01,2012,1,480,1326
2012-07-01,2012,7,40,2215
2012-08-01,2012,8,5,3000
2012-11-01,2012,11,815,3147
2012-12-01,2012,12,586,2241
2013-01-01,2013,1,871,2037
2013-06-01,2013,6,127,1700
2013-07-01,2013,7,467,2734
2013-08-01,2013,8,31,1500
2013-11-01,2013,11,386,1375
2013-12-01,2013,12,55,2260
2014-01-01,2014,1,1082,1773
2014-06-01,2014,6,511,2680
2014-07-01,2014,7,344,2105
2014-08-01,2014,8,370,2900
2014-11-01,2014,11,606,2110
2014-12-01,2014,12,1302,1328
2015-01-01,2015,1,12154,2187
2015-06-01,2015,6,150,3120
2015-07-01,2015,7,247,2817
2015-08-01,2015,8,230,3300
2015-11-01,2015,11,1445,2935
2015-12-01,2015,12,2782,3012
2016-01-01,2016,1,848,2725
2016-06-01,2016,6,376,2600
2016-07-01,2016,7,505,2586
2016-08-01,2016,8,568,2685
2016-11-01,2016,11,2294,3200
2016-12-01,2016,12,986,2012
2017-01-01,2017,1,431,2600
2017-06-01,2017,6,33,4300
2017-07-01,2017,7,122,1500
2017-08-01,2017,8,230,4100
2017-11-01,2017,11,492,2367
2017-12-01,2017,12,362,2200
2018-01-01,2018,1,185,2775
2018-06-01,2018,6,67,3342
2018-07-01,2018,7,2153,3383
2018-08-01,2018,8,138,3408
2018-11-01,2018,11,293,2880
2018-12-01,2018,12,164,2315
2019-01-01,2019,1,271,3847
2019-06-01,2019,6,44,4621
2019-07-01,2019,7,84,3295
2019-08-01,2019,8,116,2916
2019-11-01,2019,11,149,3574
