Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,857,540
2002-07-01,2002,7,607,561
2002-08-01,2002,8,1594,638
2002-11-01,2002,11,519,484
2002-12-01,2002,12,393,524
2003-01-01,2003,1,816,504
2003-06-01,2003,6,352,558
2003-07-01,2003,7,1798,598
2003-08-01,2003,8,2557,562
2003-11-01,2003,11,472,476
2003-12-01,2003,12,239,490
2004-01-01,2004,1,979,523
2004-06-01,2004,6,341,560
2004-07-01,2004,7,168,558
2004-08-01,2004,8,393,599
2004-11-01,2004,11,1261,443
2004-12-01,2004,12,3275,471
2005-01-01,2005,1,2751,470
2005-06-01,2005,6,191,522
2005-07-01,2005,7,18030,529
2005-08-01,2005,8,126,555
2005-11-01,2005,11,424,494
2005-12-01,2005,12,1411,489
2006-01-01,2006,1,6468,498
2006-11-01,2006,11,7,560
2006-12-01,2006,12,4,613
2007-06-01,2007,6,12,700
2007-07-01,2007,7,26,712
2007-08-01,2007,8,31,678
2007-11-01,2007,11,19,549
2007-12-01,2007,12,4,591
2008-01-01,2008,1,398,600
2008-06-01,2008,6,39,898
2008-07-01,2008,7,7,1000
2008-11-01,2008,11,19,757
2008-12-01,2008,12,2,742
2009-01-01,2009,1,14,714
2009-06-01,2009,6,12,810
2009-07-01,2009,7,35,878
2009-08-01,2009,8,3,811
2009-11-01,2009,11,138,755
2009-12-01,2009,12,284,766
2010-01-01,2010,1,394,781
2010-07-01,2010,7,73,1016
2010-08-01,2010,8,10,1030
2010-12-01,2010,12,138,821
2011-01-01,2011,1,67,855
2011-06-01,2011,6,413,1090
2011-07-01,2011,7,305,1125
2011-08-01,2011,8,712,1085
2011-11-01,2011,11,923,932
2011-12-01,2011,12,1215,992
2012-01-01,2012,1,1106,1049
2012-06-01,2012,6,715,1010
2012-07-01,2012,7,353,1062
2012-08-01,2012,8,273,1115
2012-11-01,2012,11,891,1209
2012-12-01,2012,12,3975,1325
2013-01-01,2013,1,3304,1310
2013-06-01,2013,6,250,1379
2013-07-01,2013,7,389,1448
2013-08-01,2013,8,173,1332
2014-01-01,2014,1,1586,1119
2014-06-01,2014,6,136,1250
2014-07-01,2014,7,102,1162
2014-08-01,2014,8,85,1212
2014-11-01,2014,11,488,1047
2014-12-01,2014,12,827,1047
2015-01-01,2015,1,14991,1070
2015-06-01,2015,6,143,1232
2015-07-01,2015,7,33,1448
2015-08-01,2015,8,263,1401
2015-11-01,2015,11,390,1315
2015-12-01,2015,12,554,1397
2016-01-01,2016,1,455,1411
2016-06-01,2016,6,19,1450
2016-07-01,2016,7,155,1667
2016-08-01,2016,8,22,1590
2016-11-01,2016,11,768,1354
2016-12-01,2016,12,1247,1365
2017-01-01,2017,1,1132,1377
2017-06-01,2017,6,140,1454
2017-07-01,2017,7,91,1642
2017-11-01,2017,11,279,1137
2017-12-01,2017,12,1134,1151
2018-01-01,2018,1,550,1115
2018-06-01,2018,6,190,1191
2018-07-01,2018,7,115,1805
2018-08-01,2018,8,178,1286
2018-11-01,2018,11,1265,1373
2018-12-01,2018,12,2290,1616
2019-01-01,2019,1,2469,1777
2019-06-01,2019,6,106,2169
2019-07-01,2019,7,44,2254
2019-08-01,2019,8,80,2439
2019-11-01,2019,11,946,1842
2019-12-01,2019,12,1053,1767
