Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,65,950
2002-11-01,2002,11,284,649
2002-12-01,2002,12,236,673
2003-01-01,2003,1,209,761
2003-06-01,2003,6,228,742
2003-07-01,2003,7,105,795
2003-08-01,2003,8,159,1128
2003-11-01,2003,11,279,719
2003-12-01,2003,12,230,839
2004-01-01,2004,1,418,863
2004-06-01,2004,6,131,1069
2004-07-01,2004,7,64,1125
2004-08-01,2004,8,141,864
2004-11-01,2004,11,490,632
2004-12-01,2004,12,467,616
2005-01-01,2005,1,201,503
2005-06-01,2005,6,110,821
2005-07-01,2005,7,164,788
2005-08-01,2005,8,76,988
2005-11-01,2005,11,121,888
2005-12-01,2005,12,30,1000
2006-01-01,2006,1,519,718
2006-06-01,2006,6,141,1090
2006-07-01,2006,7,54,1800
2006-12-01,2006,12,267,650
2007-01-01,2007,1,86,600
2007-06-01,2007,6,436,756
2007-07-01,2007,7,233,891
2007-08-01,2007,8,292,750
2007-11-01,2007,11,907,601
2007-12-01,2007,12,926,700
2008-01-01,2008,1,2985,732
2008-06-01,2008,6,224,750
2008-07-01,2008,7,20,1800
2008-11-01,2008,11,1206,850
2008-12-01,2008,12,1323,850
2009-01-01,2009,1,6072,988
2009-06-01,2009,6,1449,1037
2009-07-01,2009,7,253,1064
2009-08-01,2009,8,42,2175
2009-11-01,2009,11,4376,864
2009-12-01,2009,12,3835,855
2010-01-01,2010,1,5866,850
2010-06-01,2010,6,1078,1027
2010-07-01,2010,7,1410,1068
2010-08-01,2010,8,1259,1034
2010-11-01,2010,11,226,1000
2010-12-01,2010,12,5339,941
2011-01-01,2011,1,916,940
2011-06-01,2011,6,813,1254
2011-07-01,2011,7,338,1356
2011-08-01,2011,8,550,1296
2011-11-01,2011,11,4121,1029
2011-12-01,2011,12,5385,1236
2012-01-01,2012,1,1908,1806
2012-06-01,2012,6,1000,1215
2012-07-01,2012,7,669,1388
2012-08-01,2012,8,497,1443
2012-11-01,2012,11,185,1375
2012-12-01,2012,12,6824,1427
2013-01-01,2013,1,1787,1878
2013-06-01,2013,6,118,2733
2013-07-01,2013,7,465,2025
2013-08-01,2013,8,23,5100
2014-01-01,2014,1,2810,1242
2014-06-01,2014,6,1230,2088
2014-07-01,2014,7,311,1402
2014-08-01,2014,8,29,4250
2014-11-01,2014,11,756,1144
2014-12-01,2014,12,4574,1146
2015-01-01,2015,1,79733,1411
2015-06-01,2015,6,198,1378
2015-07-01,2015,7,286,1440
2015-08-01,2015,8,370,3312
2015-11-01,2015,11,688,1854
2015-12-01,2015,12,2905,1715
2016-01-01,2016,1,3471,1814
2016-06-01,2016,6,222,2446
2016-07-01,2016,7,297,2183
2016-08-01,2016,8,96,2525
2016-11-01,2016,11,128,1550
2016-12-01,2016,12,477,1492
2017-01-01,2017,1,523,1525
2017-06-01,2017,6,161,1677
2017-07-01,2017,7,202,3358
2017-08-01,2017,8,433,2269
2017-11-01,2017,11,937,1353
2017-12-01,2017,12,2125,1710
2018-01-01,2018,1,1642,2009
2018-06-01,2018,6,279,2203
2018-07-01,2018,7,248,2272
2018-08-01,2018,8,128,2050
2018-11-01,2018,11,208,1510
2018-12-01,2018,12,1558,1747
2019-01-01,2019,1,767,1828
2019-07-01,2019,7,439,2430
2019-08-01,2019,8,82,3475
2019-11-01,2019,11,660,2735
2019-12-01,2019,12,20,4450
