Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,98,508
2002-07-01,2002,7,87,530
2002-08-01,2002,8,20,595
2002-11-01,2002,11,2070,497
2002-12-01,2002,12,4020,530
2003-01-01,2003,1,1900,510
2003-06-01,2003,6,554,531
2003-07-01,2003,7,888,543
2003-08-01,2003,8,218,537
2003-11-01,2003,11,3505,494
2003-12-01,2003,12,2381,492
2004-01-01,2004,1,3826,525
2004-06-01,2004,6,237,522
2004-07-01,2004,7,283,550
2004-08-01,2004,8,492,603
2004-11-01,2004,11,4933,445
2004-12-01,2004,12,6072,468
2005-01-01,2005,1,27184,490
2010-01-01,2010,1,4447,830
2014-06-01,2014,6,751,1307
2014-11-01,2014,11,1418,1095
2014-12-01,2014,12,3592,1115
2015-01-01,2015,1,36111,1143
2015-06-01,2015,6,41,1310
2015-07-01,2015,7,352,1225
2015-12-01,2015,12,714,1421
2016-01-01,2016,1,17,1400
2016-06-01,2016,6,244,1582
2016-07-01,2016,7,568,1758
2016-11-01,2016,11,3042,1319
2017-01-01,2017,1,2623,1412
2017-06-01,2017,6,357,1557
2017-07-01,2017,7,513,1584
2017-08-01,2017,8,74,1550
2017-11-01,2017,11,1328,1227
2017-12-01,2017,12,3095,1200
2018-01-01,2018,1,1670,1245
2018-07-01,2018,7,10,1442
2018-08-01,2018,8,104,1603
2018-11-01,2018,11,1361,1454
2018-12-01,2018,12,2505,1615
2019-01-01,2019,1,655,1840
2019-06-01,2019,6,30,2270
2019-07-01,2019,7,101,2360
2019-11-01,2019,11,6009,1763
2019-12-01,2019,12,2312,1884
