Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,575,518
2002-07-01,2002,7,1175,522
2002-08-01,2002,8,980,620
2002-11-01,2002,11,860,494
2002-12-01,2002,12,818,498
2003-01-01,2003,1,910,519
2003-06-01,2003,6,376,576
2003-07-01,2003,7,435,581
2003-08-01,2003,8,335,587
2003-11-01,2003,11,1411,622
2003-12-01,2003,12,1293,476
2004-01-01,2004,1,565,496
2004-06-01,2004,6,370,580
2004-07-01,2004,7,310,595
2004-08-01,2004,8,532,618
2004-11-01,2004,11,540,504
2004-12-01,2004,12,396,481
2005-01-01,2005,1,480,504
2005-06-01,2005,6,65,512
2006-01-01,2006,1,1470,498
2006-06-01,2006,6,335,582
2006-07-01,2006,7,65,629
2006-08-01,2006,8,5,840
2006-11-01,2006,11,531,648
2006-12-01,2006,12,760,659
2007-01-01,2007,1,178,705
2007-06-01,2007,6,45,737
2007-08-01,2007,8,285,708
2007-11-01,2007,11,974,618
2007-12-01,2007,12,1170,632
2008-01-01,2008,1,718,649
2008-06-01,2008,6,419,894
2008-07-01,2008,7,476,980
2008-08-01,2008,8,177,1019
2008-11-01,2008,11,1197,853
2008-12-01,2008,12,631,832
2009-01-01,2009,1,409,845
2009-06-01,2009,6,438,911
2009-07-01,2009,7,789,942
2009-08-01,2009,8,451,930
2009-11-01,2009,11,2086,862
2009-12-01,2009,12,1806,902
2010-01-01,2010,1,1866,878
2010-06-01,2010,6,1528,980
2010-07-01,2010,7,1351,1019
2010-08-01,2010,8,698,1147
2010-11-01,2010,11,5298,946
2010-12-01,2010,12,8062,958
2011-01-01,2011,1,5165,960
2011-06-01,2011,6,2603,1150
2011-07-01,2011,7,1301,1253
2011-08-01,2011,8,811,1181
2011-11-01,2011,11,6448,1043
2011-12-01,2011,12,15759,1061
2012-01-01,2012,1,12583,1106
2012-06-01,2012,6,4253,1196
2012-07-01,2012,7,3392,1336
2012-08-01,2012,8,3245,1455
2012-11-01,2012,11,5705,1387
2012-12-01,2012,12,3416,1394
2013-01-01,2013,1,4274,1415
2013-06-01,2013,6,1474,1365
2013-07-01,2013,7,1600,1600
2013-08-01,2013,8,202,1583
2014-01-01,2014,1,1538,1251
2014-06-01,2014,6,3687,1405
2014-07-01,2014,7,3100,1444
2014-08-01,2014,8,772,1474
2014-11-01,2014,11,4216,1201
2014-12-01,2014,12,9490,1200
2015-01-01,2015,1,118048,1200
2015-06-01,2015,6,2035,1425
2015-07-01,2015,7,2020,1450
2015-08-01,2015,8,935,1450
2015-11-01,2015,11,1971,1420
2015-12-01,2015,12,3386,1420
2016-01-01,2016,1,5780,1464
2016-06-01,2016,6,1934,1500
2016-07-01,2016,7,1284,1639
2016-08-01,2016,8,593,1703
2016-11-01,2016,11,1451,1450
2016-12-01,2016,12,2046,1450
2017-01-01,2017,1,1900,1450
2017-06-01,2017,6,948,1450
2017-07-01,2017,7,495,1450
2017-08-01,2017,8,220,1450
2017-11-01,2017,11,3233,1392
2017-12-01,2017,12,4234,1354
2018-01-01,2018,1,4354,1350
2018-06-01,2018,6,734,1350
2018-07-01,2018,7,77,1350
2018-08-01,2018,8,29,1350
2018-11-01,2018,11,130,1518
2018-12-01,2018,12,501,1552
2019-01-01,2019,1,693,1600
2019-06-01,2019,6,24,2100
2019-07-01,2019,7,75,2100
2019-08-01,2019,8,2,2200
2019-11-01,2019,11,426,1964
2019-12-01,2019,12,2153,1772
