Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-08-01,2004,8,3,540
2008-12-01,2008,12,53,825
2010-01-01,2010,1,59,934
2010-06-01,2010,6,1,890
2012-01-01,2012,1,1,1000
2012-06-01,2012,6,2,1000
2012-11-01,2012,11,41,1515
2013-08-01,2013,8,3,1175
2014-01-01,2014,1,3412,1310
2014-07-01,2014,7,1,1450
2014-08-01,2014,8,2,1400
2014-11-01,2014,11,25,1200
2014-12-01,2014,12,46,1217
2015-01-01,2015,1,769,1234
2015-06-01,2015,6,7,1275
2015-08-01,2015,8,8,1500
2015-11-01,2015,11,2,1500
2015-12-01,2015,12,6,1467
2016-01-01,2016,1,14,1452
2016-07-01,2016,7,2,1400
2016-11-01,2016,11,1,1600
2016-12-01,2016,12,1,1600
2017-01-01,2017,1,17,1550
2017-06-01,2017,6,6,1650
2017-07-01,2017,7,1,1600
2017-08-01,2017,8,1,1800
2017-11-01,2017,11,1,1400
2018-06-01,2018,6,1,1800
2018-07-01,2018,7,3,1700
2018-08-01,2018,8,2,1800
2018-11-01,2018,11,1,1800
2019-06-01,2019,6,1,2500
2019-07-01,2019,7,1,2000
2019-08-01,2019,8,1,2700
2019-11-01,2019,11,2,2550
2019-12-01,2019,12,2,2000
